Monte Carlo Dashboard (MIMIC_CUA_weibull.trex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteration,"Cost
(Threshold 1 (Usual care))","Cost
(Threshold 2 (SF < 88))","Cost
(Threshold 3 (SF < 98))","Cost
(Threshold 4 (SF < 110))","Effectiveness
(Threshold 1 (Usual care))","Effectiveness
(Threshold 2 (SF < 88))","Effectiveness
(Threshold 3 (SF < 98))","Effectiveness
(Threshold 4 (SF < 110))","NMB
(Threshold 1 (Usual care))","NMB
(Threshold 2 (SF < 88))","NMB
(Threshold 3 (SF < 98))","NMB
(Threshold 4 (SF < 110))","Optimal
Strategy","t_currentage
(Threshold 1 (Usual care))","t_currentage
(Threshold 2 (SF < 88))","t_currentage
(Threshold 3 (SF < 98))","t_currentage
(Threshold 4 (SF < 110))","t_dischargesurvival_finalscale
(Threshold 1 (Usual care))","t_dischargesurvival_finalscale
(Threshold 2 (SF < 88))","t_dischargesurvival_finalscale
(Threshold 3 (SF < 98))","t_dischargesurvival_finalscale
(Threshold 4 (SF < 110))","t_hospitalduration
(Threshold 1 (Usual care))","t_hospitalduration
(Threshold 2 (SF < 88))","t_hospitalduration
(Threshold 3 (SF < 98))","t_hospitalduration
(Threshold 4 (SF < 110))","t_imv
(Threshold 1 (Usual care))","t_imv
(Threshold 2 (SF < 88))","t_imv
(Threshold 3 (SF < 98))","t_imv
(Threshold 4 (SF < 110))","t_imvduration
(Threshold 1 (Usual care))","t_imvduration
(Threshold 2 (SF < 88))","t_imvduration
(Threshold 3 (SF < 98))","t_imvduration
(Threshold 4 (SF < 110))","t_lifespan
(Threshold 1 (Usual care))","t_lifespan
(Threshold 2 (SF < 88))","t_lifespan
(Threshold 3 (SF < 98))","t_lifespan
(Threshold 4 (SF < 110))","t_ltd
(Threshold 1 (Usual care))","t_ltd
(Threshold 2 (SF < 88))","t_ltd
(Threshold 3 (SF < 98))","t_ltd
(Threshold 4 (SF < 110))","t_oxygenduration
(Threshold 1 (Usual care))","t_oxygenduration
(Threshold 2 (SF < 88))","t_oxygenduration
(Threshold 3 (SF < 98))","t_oxygenduration
(Threshold 4 (SF < 110))","t_survive
(Threshold 1 (Usual care))","t_survive
(Threshold 2 (SF < 88))","t_survive
(Threshold 3 (SF < 98))","t_survive
(Threshold 4 (SF < 110))","threshold
(Threshold 1 (Usual care))","threshold
(Threshold 2 (SF < 88))","threshold
(Threshold 3 (SF < 98))","threshold
(Threshold 4 (SF < 110))",d_Recovery18to64Cost,d_Recovery65plusCost,d_Recovery18to64CostMean,d_Recovery65plusCostMean,d_LongtermDisabilityUtility,d_Gompertz,d_Age,d_Sex,d_Uniform,d_thresh1_imv_surv,d_thresh1_surv,d_thresh2_imv_surv,d_thresh2_surv,d_thresh3_imv_surv,d_thresh3_surv,d_thresh4_imv_surv,d_thresh4_surv,d_beta_imvDuration_intercept,d_beta_imvDuration_death28,d_beta_imvDuration_age,d_beta_imvDuration_sex,d_beta_imvDuration_logalpha,d_beta_oxygenDuration_intercept,d_beta_oxygenDuration_death28,d_beta_oxygenDuration_imv28,d_beta_oxygenDuration_age,d_beta_oxygenDuration_sex,d_beta_oxygenDuration_logalpha,d_beta_hospitalDuration_intercept,d_beta_hospitalDuration_death28,d_beta_hospitalDuration_imv28,d_beta_hospitalDuration_age,d_beta_hospitalDuration_sex,d_beta_hospitalDuration_logalpha,d_imvDuration,d_oxygenDuration,d_hospitalDuration,d_LTD_riskgroup0,d_LTD_riskgroup1,d_LTD_riskgroup2,d_LTD_riskgroup3,d_LTD_riskgroup4,d_imv1,d_imv2,d_imv3,d_imv4,d_imv5,d_oxygen1,d_oxygen2,d_oxygen3,d_oxygen4,d_oxygen5,d_ward1,d_ward2,d_ward3,d_ward4,d_ward5,d_y1,d_y2,d_y3,d_y4,d_y5,d_thresh1_imv_death,d_thresh2_imv_death,d_thresh3_imv_death,d_thresh4_imv_death,d_LTDmortalityHR,d_dischargeSurvival_shape,d_dischargeSurvival_scale,d_dischargeSurvival,d_dischargeSurvival_ageHR,"Longterm disability
(Threshold 1 (Usual care))","Longterm disability
(Threshold 2 (SF < 88))","Longterm disability
(Threshold 3 (SF < 98))","Longterm disability
(Threshold 4 (SF < 110))","IMV duration
(Threshold 1 (Usual care))","IMV duration
(Threshold 2 (SF < 88))","IMV duration
(Threshold 3 (SF < 98))","IMV duration
(Threshold 4 (SF < 110))","Life expectancy
(Threshold 1 (Usual care))","Life expectancy
(Threshold 2 (SF < 88))","Life expectancy
(Threshold 3 (SF < 98))","Life expectancy
(Threshold 4 (SF < 110))"
1,80726.34136,78435.84488,81913.52655,99834.36955,10.17099496,9.263585897,9.170764637,9.342589585,-80726.34136,-78435.84488,-81913.52655,-99834.36955,Threshold 2 (SF < 88),64.14967185,64.27284118,64.27284118,64.27284118,0,0,0,0,6.571279695,6.408965432,6.63274106,6.128508859,0.307,0.235,0.334,0.756,2.948677455,2.456659717,3.311158195,7.507649546,17.21205567,17.27526926,17.41606827,16.69076329,0.067,0.046,0.059,0.139,4.783017654,4.734628423,4.583809506,4.636111497,0.836,0.76,0.736,0.816,1,2,3,4,29966.91247,26716.40914,3932.207074,26612.20697,0.131697767,82.01863482,64.27284118,0.449535791,0.490131637,0.291820861,0.829884141,0.218272629,0.748169365,0.366096422,0.757636408,0.818385904,0.798715875,2.188077918,-0.492643536,-0.281272708,-0.090901283,0.059184928,1.700375371,-0.402574543,-0.167607415,-0.024315925,0.031055895,-0.037967475,2.310938435,-0.375283259,-0.067612306,0.10370441,0.076569734,-0.312313028,11.98597751,4.636111497,6.128508859,0.015974737,0.122009174,0.307942167,0.333828459,0.547680906,6599.317426,5148.715875,4532.623691,3794.316508,4053.758873,3742.811083,2909.052965,3863.612551,1975.719138,4050.663024,2125.281961,2093.182457,3080.510782,1797.543661,2472.980772,18428.09257,13914.12148,5127.323315,4808.649907,2355.549273,0.271063232,0.276354221,0.174037584,0.391770979,1.899604042,0.475252103,17.20170989,96.64183017,1.455540966,0.067,0.046,0.059,0.139,2.948677455,2.456659717,3.311158195,7.507649546,13.28723112,12.00818672,11.94195148,12.33045107
2,75562.25146,66835.3121,75761.37963,80751.84271,10.44731643,9.034618592,8.367321756,8.082960079,-75562.25146,-66835.3121,-75761.37963,-80751.84271,Threshold 2 (SF < 88),65.11618358,65.2235446,65.2235446,65.2235446,0,0,0,0,4.709145948,5.093238889,4.957819967,4.823915472,0.387,0.159,0.426,0.538,3.352974192,1.283774679,3.615439824,4.992772152,16.61112166,16.07379578,16.13684728,16.10087028,0.106,0.054,0.095,0.098,6.171619422,6.075575682,5.667353639,5.517153194,0.902,0.803,0.752,0.745,1,2,3,4,30030.56101,23442.43539,3347.896985,23272.37431,0.178276262,82.90820663,65.2235446,0.449581664,0.503011157,0.374832569,0.868685271,0.121804345,0.810499648,0.502521277,0.746195528,0.706004969,0.744113801,2.359527305,-0.490856469,-0.327185584,0.011925443,-0.105624561,2.092421584,-0.433614219,-0.076586321,-0.058032281,0.053707475,-0.167237689,1.988971326,-0.424365892,-0.08795771,0.068452954,0.133389959,-0.329424532,11.56728692,5.517153194,4.823915472,0.042208071,0.139544314,0.336824534,0.290182499,0.612574488,5240.92827,4429.142583,3817.926749,4129.876946,3862.749748,4006.204496,2126.412588,2210.007979,1966.471929,3224.982864,2686.37669,1571.625258,1310.511823,1875.967923,1783.904669,23726.29055,15060.57841,9842.276786,17013.38802,1850.703694,0.415574697,0.287926129,0.18341369,0.050043058,1.805645125,0.480109988,17.36322181,82.99779619,1.375384003,0.106,0.054,0.095,0.098,3.352974192,1.283774679,3.615439824,4.992772152,13.88595544,11.84052366,11.09605456,10.63336826
3,75313.25492,76453.90396,82619.42079,86826.11327,8.194271956,7.901747365,8.047023707,7.175219829,-75313.25492,-76453.90396,-82619.42079,-86826.11327,Threshold 1 (Usual care),65.32680323,65.55872009,65.55872009,65.55872009,0,0,0,0,5.953665572,5.577492813,5.283249716,5.241071843,0.213,0.277,0.518,0.666,1.463373009,2.08082057,3.488992569,4.679941497,14.9321128,14.0577153,14.63952689,14.75121793,0.038,0.036,0.06,0.081,5.630912147,5.768277933,5.722684956,5.375846833,0.8,0.798,0.767,0.724,1,2,3,4,29942.45782,29027.19796,3771.74712,29145.27901,0.156058115,82.36304192,65.55872009,0.448705039,0.506587023,0.21237684,0.806951239,0.279717636,0.791761369,0.608022741,0.770696095,0.832773703,0.723927373,2.133644714,-0.440713546,-0.232390435,-0.058008143,-0.109442637,1.987006018,-0.416423324,-0.087497601,-0.156568501,0.058692716,-0.119034415,2.012214819,-0.512089986,-0.093278544,-0.059999602,0.164622703,-0.193076973,7.863940645,5.375846833,5.241071843,0.006360797,0.088232949,0.263750616,0.378633058,0.564339475,4441.732895,4379.405375,4705.118473,3902.719622,3632.24615,3881.445193,3548.096502,2158.118808,4613.823095,3933.019087,2641.690953,1623.134979,1802.596421,1560.616143,1915.411047,39164.97294,10562.61079,9826.97518,8512.206557,2017.471463,0.129609605,0.229353149,0.176146929,0.213744222,1.709171394,0.473809398,14.30841308,58.40952986,1.205314317,0.038,0.036,0.06,0.081,1.463373009,2.08082057,3.488992569,4.679941497,10.58425769,10.19104606,10.45058051,9.401685942
4,67394.26587,66754.23505,70446.73842,78345.11278,6.931972266,7.628249863,7.87323977,9.670645693,-67394.26587,-66754.23505,-70446.73842,-78345.11278,Threshold 2 (SF < 88),65.25600238,65.36214179,65.36214179,65.36214179,0,0,0,0,4.671479093,5.138223116,4.600183453,4.630119409,0.214,0.171,0.333,0.65,1.420864577,1.277349526,2.262951604,4.865469071,15.61429124,15.38549799,16.62882402,15.2414495,0.049,0.06,0.057,0.119,4.627870592,4.730347258,4.718678483,4.531136601,0.648,0.721,0.698,0.913,1,2,3,4,29994.79945,29466.03741,4722.932591,29443.96998,0.236532162,83.33159312,65.36214179,0.451083582,0.513767775,0.280777708,0.654879292,0.21768513,0.716566946,0.437701353,0.691041458,0.708214371,0.924108292,2.249351321,-0.553275982,-0.163188059,-0.022863256,-0.131008731,1.782529419,-0.403159727,-0.19601466,-0.159666309,0.101270911,-0.164967074,1.983612745,-0.468902107,-0.165181908,-0.14293873,0.142923528,-0.354086438,8.649993622,4.531136601,4.630119409,0.036545182,0.157958798,0.322291205,0.426367459,0.67574011,5335.700397,4765.79924,4568.349473,2357.233606,3626.825086,2995.409446,2750.588489,2375.984302,2660.436743,1875.777774,2836.537296,2490.756279,2618.465286,1230.998372,703.5328565,26168.7406,12999.08022,12471.32988,11280.75263,5814.180609,0.114312146,0.068782939,0.175852499,0.09552541,1.443440189,0.474486978,18.06429536,77.60519788,1.235766627,0.049,0.06,0.057,0.119,1.420864577,1.277349526,2.262951604,4.865469071,9.195447672,10.08685201,10.38295271,12.82018898
5,63887.76817,61610.08237,72163.08707,72863.00362,7.722766907,6.470251768,9.969732558,7.411120686,-63887.76817,-61610.08237,-72163.08707,-72863.00362,Threshold 2 (SF < 88),64.6701455,64.74720421,64.74720421,64.74720421,0,0,0,0,6.016008991,5.359073889,6.350528487,5.870100566,0.3,0.236,0.494,0.592,1.979641007,1.659622186,3.801248402,4.181879596,14.44103801,14.84486309,15.09249758,15.62970982,0.05,0.041,0.104,0.099,4.152353254,4.25444554,4.259103267,3.78796465,0.765,0.611,0.955,0.69,1,2,3,4,29886.24461,21444.3207,3873.882837,21379.63217,0.188980093,81.10270955,64.74720421,0.449567296,0.490578828,0.294049718,0.761080774,0.310435396,0.592780891,0.521014706,0.958878659,0.713450304,0.718714399,2.200133985,-0.404520292,-0.164396245,-0.072211433,-0.099560632,1.67661437,-0.522266835,-0.285944112,-0.007560392,0.022567013,-0.097973624,2.093801864,-0.406063811,-0.022002763,-0.045975123,0.085361148,-0.191126872,8.027737169,3.78796465,5.870100566,0.025072162,0.144094102,0.282426604,0.417102621,0.554068554,8410.895043,4117.239629,4049.50803,3916.970285,2984.455637,2493.490038,3615.357521,3254.38943,2973.780824,2643.979091,1606.492513,1584.615503,2015.127785,1544.136054,1114.987908,30312.39731,7882.733651,4539.442105,9066.715244,6871.866658,0.336388686,0.093141046,0.153349436,0.287576063,1.62392334,0.437108072,14.25134424,86.175991,1.243518176,0.05,0.041,0.104,0.099,1.979641007,1.659622186,3.801248402,4.181879596,10.09991281,8.421698916,13.06190612,9.851082006
6,77132.07043,74590.96613,92587.26737,110758.0985,5.902356103,7.165687004,7.955667849,8.641129202,-77132.07043,-74590.96613,-92587.26737,-110758.0985,Threshold 2 (SF < 88),65.5652454,65.69013414,65.69013414,65.69013414,0,0,0,0,6.715540347,6.591333936,7.406205439,7.120104262,0.172,0.107,0.445,0.802,1.576488229,0.956005571,4.495134333,8.28613708,15.00841366,13.68597944,15.60302857,15.00714905,0.038,0.04,0.109,0.164,5.2621271,5.984439835,5.501244506,6.25075192,0.58,0.749,0.747,0.899,1,2,3,4,29931.8982,28436.84173,4862.777087,28271.79281,0.252359247,83.48966648,65.69013414,0.445803748,0.502887524,0.176454708,0.593370526,0.111920327,0.758065304,0.558554761,0.741331407,0.857788313,0.905574505,2.267461555,-0.324445232,-0.221189245,-0.088690956,0.043729586,1.939290547,-0.425482156,-0.059202889,-0.148202122,0.038845509,-0.051230597,2.303009437,-0.244208912,-0.091717168,-0.085609707,0.188681279,-0.287214204,11.65785515,6.25075192,7.132895544,0.03980439,0.135382961,0.286814169,0.333351761,0.549081064,8126.013216,5639.711003,4048.953109,4181.014199,3780.268953,3457.489414,2526.184336,2732.833346,2238.917039,3331.463801,3037.748159,1935.376964,1999.439728,1840.571304,1685.111514,33611.95964,5485.132541,6980.041088,2685.163466,4907.607583,0.152948112,0.150067203,0.130197044,0.163491218,1.886268895,0.422928979,15.46504777,57.15938846,0.852215541,0.038,0.04,0.109,0.164,1.576488229,0.956005571,4.495134333,8.28613708,7.7909012,9.406612989,10.82570701,11.86851605
7,80964.82953,70399.47591,85930.91493,93666.70835,8.291100822,7.812642531,8.794457252,8.464363807,-80964.82953,-70399.47591,-85930.91493,-93666.70835,Threshold 2 (SF < 88),64.05801172,64.15387302,64.15387302,64.15387302,0,0,0,0,5.679024974,5.657272152,5.867380743,5.673885333,0.324,0.093,0.513,0.797,3.028600809,0.458735213,4.564236226,7.153469213,16.59421076,16.34482698,15.29507537,14.43184215,0.095,0.033,0.119,0.162,3.817423386,3.693516733,3.647606879,3.532461218,0.751,0.696,0.87,0.897,1,2,3,4,29879.91633,36886.23084,3361.827135,36845.21652,0.322083777,82.43738903,64.15387302,0.452775889,0.50483406,0.381439681,0.733365369,0.046777389,0.707168287,0.547114466,0.854593675,0.871562206,0.902312037,2.207450361,-0.557684016,-0.327622845,-0.032926166,-0.035791157,1.640134379,-0.481609554,-0.161536353,-0.026891109,-0.026788311,-0.229092456,2.130849653,-0.402712535,0.008943224,-0.065441781,0.136702904,-0.353724229,10.97057705,3.532461218,5.673885333,0.044535417,0.101113446,0.253136823,0.440219322,0.654954172,4870.984663,3726.918635,3835.362897,3292.842397,4267.904185,2846.005356,3037.354312,1961.717672,3028.41627,1965.829703,1780.590725,2036.521299,3154.616072,1890.667572,1458.010783,28719.49749,15130.8359,5039.672911,8571.216575,8079.077078,0.115093244,0.157372246,0.149875584,0.146217917,1.753375593,0.486941712,17.69095255,47.62099277,0.880450963,0.095,0.033,0.119,0.162,3.028600809,0.458735213,4.564236226,7.153469213,11.29654448,10.144028,11.95040182,11.80484421
8,76539.10791,70517.49871,72924.74441,86083.84684,7.558947745,8.082235599,7.082695251,10.42453399,-76539.10791,-70517.49871,-72924.74441,-86083.84684,Threshold 2 (SF < 88),65.03652877,65.18673127,65.18673127,65.18673127,0,0,0,0,5.543458301,6.25547791,5.898937424,6.35084109,0.393,0.212,0.349,0.59,3.148720236,1.850229862,2.391898154,5.152912591,17.14808266,17.46848853,17.53916015,17.11366311,0.051,0.026,0.036,0.096,4.178615279,4.268381271,3.910723959,4.504206516,0.653,0.671,0.606,0.867,1,2,3,4,29847.70959,33248.5497,4634.205889,33231.55907,0.232437232,83.28858432,65.18673127,0.450291876,0.497278324,0.443313061,0.659125459,0.208121269,0.711608573,0.319893873,0.624035651,0.653495506,0.866007871,2.190299953,-0.488035977,-0.299350337,-0.060207748,0.005421788,1.635392837,-0.430028899,-0.08700873,0.002972238,0.125550749,-0.106318037,2.227921077,-0.461201065,-0.147256052,0.041963164,0.1896957,-0.272985877,11.17071675,4.504206516,6.35084109,0.006736321,0.109670766,0.21347758,0.411977524,0.581947868,6802.91424,4142.423324,5945.079293,4261.832689,4648.547267,3980.623325,2666.696524,3082.509318,2018.339866,815.9775337,2056.762693,2971.685368,1077.842616,2426.142173,664.2727848,27941.67008,18829.19662,4972.604782,13518.25277,8304.687381,0.274059331,0.203592727,0.382907633,0.122235643,1.721757493,0.478644574,8.941190001,257.7554296,3.290051587,0.051,0.026,0.036,0.096,3.148720236,1.850229862,2.391898154,5.152912591,9.920699797,10.35351657,9.263400519,13.7081295
9,88089.97836,80542.07916,94886.1412,93318.79814,6.695826972,7.511048264,9.811929495,5.69551824,-88089.97836,-80542.07916,-94886.1412,-93318.79814,Threshold 2 (SF < 88),64.62750688,64.78722802,64.78722802,64.78722802,0,0,0,0,6.977430445,7.409128834,8.019734636,7.107719036,0.383,0.15,0.429,0.504,3.534337612,1.346334776,4.338075611,5.159149544,15.72659644,16.39817263,16.57663267,15.95011075,0.084,0.03,0.102,0.101,5.009430972,5.038612814,5.754060196,4.534961746,0.627,0.648,0.869,0.519,1,2,3,4,30083.66307,32378.29496,3020.426281,32410.11495,0.224399905,82.72396971,64.78722802,0.448707189,0.507940761,0.475023554,0.61031292,0.170248215,0.652627762,0.480595009,0.87782893,0.826037345,0.51748806,2.295589615,-0.468362859,-0.162121844,-0.108481692,0.059518861,1.846611007,-0.511813279,-0.149005327,0.049284016,0.040916177,-0.05021786,2.479926511,-0.501850381,-0.083911959,0.033842528,0.178039998,-0.204206109,12.15389664,4.534961746,7.107719036,0.007717221,0.07555376,0.334270254,0.367396998,0.64276657,5634.483352,5199.804773,3207.696769,4168.493977,5185.237617,4155.190923,4522.817593,2629.039982,3446.021772,2090.405299,2099.545149,1902.929815,1846.110063,1696.358474,1873.810294,36201.04091,9628.847774,20349.82404,5438.088841,4517.244177,0.141199537,0.080442588,0.119929546,0.146445092,1.660104726,0.424655015,20.81332525,87.87658784,0.994146347,0.084,0.03,0.102,0.101,3.534337612,1.346334776,4.338075611,5.159149544,9.012227815,9.793306445,13.10305997,7.719649309
10,79711.78623,69624.4825,87442.98181,88129.38577,10.09375268,7.087512035,7.072079151,10.08791466,-79711.78623,-69624.4825,-87442.98181,-88129.38577,Threshold 2 (SF < 88),64.95722763,65.11645344,65.11645344,65.11645344,0,0,0,0,6.780440183,6.444875454,5.778341248,6.173284802,0.328,0.138,0.545,0.54,2.882111379,1.293850517,4.724830035,4.823916634,16.93895333,16.3413795,17.33101075,17.02744995,0.072,0.032,0.087,0.118,5.928188545,5.210398377,5.647289758,5.825779185,0.864,0.645,0.636,0.875,1,2,3,4,29942.98953,29371.01822,4268.673926,29685.98712,0.264329792,81.95150883,65.11645344,0.448197784,0.509854035,0.338851004,0.862087408,0.149000102,0.63780099,0.672783862,0.649723253,0.601954557,0.874899773,2.263358703,-0.410351228,-0.242549819,-0.07721849,-0.02091267,1.861128806,-0.34277272,-0.01917635,0.059103592,0.051326696,-0.065810849,2.254191549,-0.328615082,-0.207065632,-0.034622799,0.104324444,-0.244807539,11.13256947,5.825779185,6.173284802,0.008136227,0.119324412,0.265553908,0.509229316,0.564581457,8159.213236,6444.391747,4472.866059,3748.250396,4767.063726,4108.512576,2534.94121,3758.221084,1922.807666,1558.5738,2222.666297,1708.580425,850.7726825,3256.835885,912.4412101,34898.42044,24678.23572,13786.56335,4050.797455,10896.81759,0.27136898,0.083684556,0.288824145,0.115625979,1.624515792,0.418042199,23.48730051,147.2130756,1.137993622,0.072,0.032,0.087,0.118,2.882111379,1.293850517,4.724830035,4.823916634,13.47588955,9.272039622,9.63367741,13.58290283
