Monte Carlo All Values Report (MIMIC_CUA_simple.trex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteration,"Cost
(Threshold 1 (Usual care))","Cost
(Threshold 4 (SF < 110))","Effectiveness
(Threshold 1 (Usual care))","Effectiveness
(Threshold 4 (SF < 110))","NMB
(Threshold 1 (Usual care))","NMB
(Threshold 4 (SF < 110))","Optimal
Strategy","t_currentage
(Threshold 1 (Usual care))","t_currentage
(Threshold 4 (SF < 110))","t_dischargesurvival_finalscale
(Threshold 1 (Usual care))","t_dischargesurvival_finalscale
(Threshold 4 (SF < 110))","t_hospitalduration
(Threshold 1 (Usual care))","t_hospitalduration
(Threshold 4 (SF < 110))","t_imv
(Threshold 1 (Usual care))","t_imv
(Threshold 4 (SF < 110))","t_imvduration
(Threshold 1 (Usual care))","t_imvduration
(Threshold 4 (SF < 110))","t_lifespan
(Threshold 1 (Usual care))","t_lifespan
(Threshold 4 (SF < 110))","t_ltd
(Threshold 1 (Usual care))","t_ltd
(Threshold 4 (SF < 110))","t_oxygenduration
(Threshold 1 (Usual care))","t_oxygenduration
(Threshold 4 (SF < 110))","t_survive
(Threshold 1 (Usual care))","t_survive
(Threshold 4 (SF < 110))","threshold
(Threshold 1 (Usual care))","threshold
(Threshold 4 (SF < 110))",d_Recovery18to64Cost,d_Recovery65plusCost,d_Recovery18to64CostMean,d_Recovery65plusCostMean,d_LongtermDisabilityUtility,d_Gompertz,d_Age,d_Sex,d_Uniform,d_thresh1_imv_surv,d_thresh1_surv,d_thresh2_imv_surv,d_thresh2_surv,d_thresh3_imv_surv,d_thresh3_surv,d_thresh4_imv_surv,d_thresh4_surv,d_beta_imvDuration_intercept,d_beta_imvDuration_death28,d_beta_imvDuration_age,d_beta_imvDuration_sex,d_beta_imvDuration_logalpha,d_beta_oxygenDuration_intercept,d_beta_oxygenDuration_death28,d_beta_oxygenDuration_imv28,d_beta_oxygenDuration_age,d_beta_oxygenDuration_sex,d_beta_oxygenDuration_logalpha,d_beta_hospitalDuration_intercept,d_beta_hospitalDuration_death28,d_beta_hospitalDuration_imv28,d_beta_hospitalDuration_age,d_beta_hospitalDuration_sex,d_beta_hospitalDuration_logalpha,d_imvDuration,d_oxygenDuration,d_hospitalDuration,d_LTD_riskgroup0,d_LTD_riskgroup1,d_LTD_riskgroup2,d_LTD_riskgroup3,d_LTD_riskgroup4,d_imv1,d_imv2,d_imv3,d_imv4,d_imv5,d_oxygen1,d_oxygen2,d_oxygen3,d_oxygen4,d_oxygen5,d_ward1,d_ward2,d_ward3,d_ward4,d_ward5,d_y1,d_y2,d_y3,d_y4,d_y5,d_thresh1_imv_death,d_thresh2_imv_death,d_thresh3_imv_death,d_thresh4_imv_death,d_LTDmortalityHR,d_dischargeSurvival_shape,d_dischargeSurvival_scale,d_dischargeSurvival,d_dischargeSurvival_ageHR,"Longterm disability
(Threshold 1 (Usual care))","Longterm disability
(Threshold 4 (SF < 110))","IMV duration
(Threshold 1 (Usual care))","IMV duration
(Threshold 4 (SF < 110))","Life expectancy
(Threshold 1 (Usual care))","Life expectancy
(Threshold 4 (SF < 110))"
1,72228.28147,88187.08384,7.44103575,7.833977859,-72228.28147,-88187.08384,Threshold 1 (Usual care),64.78336369,64.90771332,0,0,4.455815456,4.410370386,0.2576,0.6402,2.634156839,6.596957465,15.74187116,15.51495911,0.0544,0.1222,4.604534499,4.696089579,0.6838,0.7496,1,4,29988.8492,29117.41141,4770.817852,28959.80734,0.283940349,82.92592258,64.90771332,0.450134836,0.503168622,0.335328045,0.685387547,0.146178298,0.592773488,0.520233465,0.877531789,0.794752006,0.756760891,2.323332534,-0.416271523,-0.16068379,-0.033913205,0.029645736,1.853326568,-0.440017448,-0.05786185,0.049526616,0.080464647,-0.226822153,1.929584885,-0.5498899,-0.120583732,-0.035889841,0.131580636,-0.374586822,13.33978867,4.696089579,4.410370386,0.01069992,0.165419747,0.206671481,0.409137707,0.594862193,5455.232315,4211.848886,3916.642167,4373.04468,3589.559069,3627.504222,2081.048372,2623.684403,2452.686069,2005.295314,3080.731823,1728.164153,1261.516132,933.4954411,1180.263781,25802.63983,8971.936301,1261.864364,11761.95882,4778.469017,0.089482998,0.22104669,0.212704739,0.166359326,1.909738446,0.479672307,15.96379617,66.76553429,1.304239265,0.0544,0.1222,2.634156839,6.596957465,9.809501465,10.64262167
2,74065.12543,89433.53836,9.672919066,9.553879442,-74065.12543,-89433.53836,Threshold 1 (Usual care),64.66908798,64.78050222,0,0,7.550943153,7.265173374,0.193,0.6278,1.719767219,5.73187221,15.58439469,15.1048576,0.0578,0.1312,5.285485326,4.946571418,0.8844,0.91,1,4,29964.60937,31064.71509,4307.1058,30990.2776,0.159094129,82.99563965,64.78050222,0.450951066,0.499132578,0.196948495,0.879806827,0.058268931,0.743283877,0.391155974,0.78634323,0.650423056,0.910393234,2.315751337,-0.449927163,-0.190602441,-0.054026401,-0.062100619,1.727722703,-0.457125039,-0.168197778,-0.125525864,0.052990869,-0.033984508,2.438229723,-0.408804899,-0.184763199,-0.044979749,0.08987221,-0.23552235,12.04427932,4.946571418,7.268751944,0.03304935,0.09217994,0.233765249,0.423750936,0.585007199,4924.031453,3811.514886,3985.481583,3852.047535,4290.290599,4102.763435,1936.01423,4211.098681,2764.846832,2665.252408,2003.692792,1814.287807,2480.05031,2229.004253,934.5663919,27039.32613,10864.34909,4137.004652,3099.313519,9756.112023,0.248069793,0.2386799,0.159755865,0.305914663,1.34757613,0.428278534,16.13897223,92.93014629,1.279634507,0.0578,0.1312,1.719767219,5.73187221,12.62327218,12.65757918
3,72256.04308,90607.58552,6.646369526,8.14012678,-72256.04308,-90607.58552,Threshold 1 (Usual care),64.94405971,65.04952922,0,0,5.773083366,6.075421684,0.202,0.7066,1.381522704,5.107513865,15.36269145,15.43837084,0.0528,0.1386,5.788672051,5.748593458,0.633,0.7962,1,4,30027.44795,29689.14211,2569.453,29719.19502,0.338253944,82.54486471,65.04952922,0.450988409,0.500753084,0.2245866,0.636921132,0.11256749,0.712802052,0.351641201,0.854520909,0.866183088,0.796348354,2.116233608,-0.413906275,-0.341200615,-0.068023249,-0.099142666,2.040696731,-0.485264335,-0.155447434,-0.12063992,0.138468657,-0.124038268,2.071737992,-0.502076342,-0.012702075,-0.153466507,-0.006486251,-0.128831169,11.58837115,5.748593458,6.075421684,0.046184373,0.124863444,0.307598702,0.509707718,0.628873291,8438.55753,4155.28569,6486.019062,5512.140424,3730.043053,3187.256439,2844.41899,3416.298195,1707.202509,2646.14053,2182.856593,1313.927628,1839.329221,1404.670273,1830.18005,34828.36439,17598.94724,5080.873213,7374.800044,5176.460503,0.162433193,0.110641528,0.164889741,0.054551046,1.62992412,0.532568396,15.67775368,47.15242419,1.248863611,0.0528,0.1386,1.381522704,5.107513865,8.868049064,11.30899615
4,78896.66834,89928.60941,6.928055432,6.592585715,-78896.66834,-89928.60941,Threshold 1 (Usual care),64.5658892,64.70265234,0,0,6.343772299,5.962934736,0.2634,0.514,3.220022873,6.127060014,12.63436606,12.65016465,0.0766,0.115,4.826729638,4.447055763,0.8044,0.7588,1,4,29988.63693,29403.42865,5353.01809,29399.70168,0.202497954,82.41159665,64.70265234,0.450170967,0.504665463,0.303099541,0.799982996,0.176655892,0.703114168,0.628345704,0.755299132,0.584136398,0.7568097,2.518573613,-0.491671635,-0.182837714,-0.035396982,-0.004977033,1.912265949,-0.344613136,-0.219955475,0.007263437,0.053368867,-0.229421153,2.227671539,-0.33538362,-0.224891534,-0.031832828,0.129822207,-0.237775262,16.77537847,4.447055763,5.962934736,0.034060044,0.135962007,0.220252629,0.428086175,0.543228283,6626.421486,5075.572922,3643.564104,4606.168432,4311.155538,3784.973878,2098.045704,2141.089523,4029.487544,2043.839649,2958.66719,1533.321318,1996.688208,2111.763842,1491.916945,37226.24041,8193.726772,1389.485637,5367.122881,15823.17546,0.083498548,0.402624139,0.233475696,0.247128116,1.32399558,0.493959318,10.55121247,31.20716321,0.903172022,0.0766,0.115,3.220022873,6.127060014,9.133559942,8.753212287
5,73399.07545,84559.06681,9.348997288,8.396666288,-73399.07545,-84559.06681,Threshold 1 (Usual care),65.01434648,65.15486686,0,0,5.355191431,5.232937279,0.3644,0.6848,3.354574574,6.229398172,15.68075475,16.31081254,0.0982,0.1394,4.912808121,4.90224047,0.8556,0.748,1,4,30005.59709,30799.66424,2379.742722,30782.54307,0.112428804,82.91519577,65.15486686,0.451047824,0.48729519,0.392766041,0.847072914,0.211764271,0.751815862,0.455253896,0.726704507,0.835128864,0.752133036,2.236404155,-0.490488498,-0.231078402,-0.065580715,-0.005586017,1.71363182,-0.365556981,-0.013478845,0.02423775,0.01799899,-0.048411226,2.035014265,-0.416136122,-0.066938091,0.036890049,0.13897521,-0.2639789,12.51674873,4.90224047,5.232937279,0.054422787,0.124709999,0.24093829,0.429287759,0.56769734,6307.231183,4013.448223,4062.127638,4279.556471,3138.344763,2876.791309,1813.157503,2818.455905,1743.814799,2226.967602,1740.121902,1120.165901,1965.199959,1710.77224,1815.252749,22831.1274,26071.2141,14768.25785,3534.946885,8162.281488,0.224079279,0.14034308,0.230599998,0.232924364,1.462607303,0.424972781,16.37904456,193.3719215,1.815987511,0.0982,0.1394,3.354574574,6.229398172,12.19262035,11.05294937
6,89791.03414,86983.48565,9.425292894,6.565176104,-89791.03414,-86983.48565,Threshold 4 (SF < 110),64.9037397,65.0050991,0,0,6.101620989,5.596279532,0.601,0.5706,5.230518806,4.707597175,14.71570875,14.90174676,0.1324,0.107,3.549775711,3.430049764,0.92,0.6232,1,4,29980.04942,31453.91232,3870.000618,31512.90162,0.100884522,83.02783321,65.0050991,0.450343645,0.501842586,0.609749435,0.921090524,0.055938256,0.742031109,0.496708911,0.892776344,0.821995875,0.61549895,2.160901314,-0.480630986,-0.24272887,0.008937792,-0.01715827,1.597899498,-0.412789541,-0.160901234,-0.048352534,0.035562542,-0.250696996,2.262707939,-0.486038404,-0.176232953,-0.063258953,0.07219055,-0.263821931,10.73159773,3.430049764,5.596279532,0.05325497,0.161910792,0.201691881,0.377402037,0.668021176,10185.73061,5736.04828,2959.690184,3549.670176,3861.790982,4396.746481,4251.668159,2928.633066,2501.258095,2133.270593,2432.395005,2299.237064,2033.779948,1612.246511,1429.885831,21809.01318,15042.1002,5397.583058,3665.790615,3166.4275,0.29360889,0.059305885,0.150941518,0.137399908,1.675743119,0.41119532,14.03651656,96.60938879,1.082942574,0.1324,0.107,5.230518806,4.707597175,12.38189067,8.657993991
7,82503.87188,85750.5339,7.450291278,9.224993864,-82503.87188,-85750.5339,Threshold 1 (Usual care),65.25414538,65.39793463,0,0,5.601695238,5.624667366,0.4432,0.5144,2.884969055,3.786738889,17.458524,17.147017,0.0428,0.0826,4.174560949,4.388290105,0.6226,0.7822,1,4,30014.88751,36532.88965,4456.902544,36679.51463,0.226646356,82.93997215,65.39793463,0.448870639,0.501612338,0.426951022,0.628805007,0.357318724,0.84119897,0.415374228,0.973759839,0.635033755,0.779970726,2.182949733,-0.428718175,-0.281474258,-0.058159372,-0.103622835,1.706088471,-0.471828122,-0.091236169,-0.155404338,0.099544514,-0.152639803,2.0714659,-0.406467815,-0.142075594,-0.045711065,0.129997301,-0.167608152,11.28020564,4.388290105,5.624667366,0.012806214,0.12817731,0.258270392,0.434977651,0.611850007,7216.311389,4178.106225,4980.774456,3926.397172,3010.540487,3749.383292,2234.399983,2349.74589,3298.903583,2238.011044,2747.947856,1472.375581,2225.567603,2182.499109,1241.365606,20346.42738,13518.72074,8972.166587,8423.44413,7031.806608,0.458149435,0.196766563,0.296867275,0.041823541,1.686490274,0.457263241,20.62177155,229.613293,2.105866587,0.0428,0.0826,2.884969055,3.786738889,9.816962665,12.21301377
8,69546.03671,81927.74565,8.511008641,8.807357969,-69546.03671,-81927.74565,Threshold 1 (Usual care),64.80843012,64.96429675,0,0,4.784554996,4.48515204,0.2708,0.7856,2.144921872,6.009173042,16.16769739,16.27852281,0.0896,0.1482,4.21355143,3.824323633,0.7646,0.7982,1,4,30052.10197,29126.4124,3648.100019,29056.14713,0.194373678,82.61762695,64.96429675,0.450067847,0.49471172,0.308395473,0.759116466,0.304885917,0.766268097,0.390371161,0.663792388,0.895906512,0.793957923,2.193759774,-0.374529987,-0.265944745,-0.056304619,-0.079364169,1.664268099,-0.435475362,-0.186423735,-0.029645424,0.082065835,-0.1488104,1.917657579,-0.486282734,-0.122648542,-0.066158691,0.006879025,-0.226837173,10.07883377,3.824323633,4.48515204,0.072729235,0.10891069,0.324764705,0.40321222,0.63495996,6898.216073,4566.295198,3286.737354,2473.484777,4613.126731,4617.552712,2462.107276,2679.98341,3232.679987,1484.407291,2907.343854,1686.061525,1237.452342,1125.868507,1366.748249,21683.82981,12542.01561,13350.71005,12054.6656,10303.743,0.143282734,0.353504211,0.229054255,0.357380925,1.490679971,0.427680422,15.88484317,118.9696637,1.427012787,0.0896,0.1482,2.144921872,6.009173042,11.29101557,11.85282977
9,76917.30879,92552.09127,8.514975859,7.490006586,-76917.30879,-92552.09127,Threshold 1 (Usual care),65.24238439,65.3596962,0,0,5.051312975,4.899573369,0.206,0.593,2.170464583,6.344871867,15.10454603,14.88970128,0.0844,0.1458,4.455853859,4.402014925,0.8528,0.7656,1,4,29998.47262,38067.93002,4481.149874,38124.16143,0.323326821,82.78002801,65.3596962,0.449399521,0.498731747,0.214398489,0.851585813,0.108725805,0.778617414,0.59801309,0.876544789,0.71603261,0.76257507,2.293883373,-0.579773166,-0.214228034,-0.054183079,0.055687626,1.725722398,-0.474677568,-0.04966771,0.022697666,0.022554742,-0.182223392,1.958562206,-0.35694134,-0.093432917,-0.035920939,0.066888241,-0.286919055,16.31363816,4.402014925,4.899573369,0.055642726,0.164212241,0.308013055,0.450794874,0.511578302,4526.255544,4299.763701,5106.076725,3564.648141,3554.576068,4274.71401,2141.695903,4105.253054,886.1305996,1662.88058,1993.300369,1640.048112,2656.390624,2549.131126,2152.322082,28932.37095,11737.91146,5976.557022,12373.64056,2970.487768,0.209587785,0.172550977,0.107968134,0.192532544,1.309171857,0.423372185,17.20846334,77.58473283,0.974101848,0.0844,0.1458,2.170464583,6.344871867,11.565334,10.50453151
10,85241.54509,89239.82717,7.79047331,7.862687227,-85241.54509,-89239.82717,Threshold 1 (Usual care),64.60882964,64.76787922,0,0,5.474052381,5.435200198,0.4266,0.6094,3.864057753,5.244395696,16.27527037,16.1293397,0.0694,0.0966,4.600866607,4.382778772,0.686,0.706,1,4,30066.2926,35643.7098,5800.97772,35619.55339,0.172996275,82.64434892,64.76787922,0.449313764,0.497324221,0.582829127,0.683685669,0.361395069,0.806650288,0.465323166,0.579534198,0.787786686,0.699393683,2.081571173,-0.444798714,-0.34168802,-0.007282316,0.013013438,1.824833034,-0.25776947,-0.195878337,-0.082702062,0.079275007,-0.212952056,2.226909589,-0.359761812,-0.339433317,0.023351111,0.056347649,-0.227363328,15.01872093,4.382778772,5.435200198,0.026513109,0.118624822,0.191673843,0.427805055,0.584985388,6388.183839,3874.19561,4543.321908,3009.707453,4191.738899,4136.483603,3700.82361,3261.781673,3892.811615,2303.933154,1966.212282,1410.898101,1231.65915,2368.533086,1100.322379,28226.90476,21839.67328,9714.166335,14359.36709,5867.339383,0.097800465,0.076319869,0.38548098,0.191370944,1.462564711,0.451965702,14.87192613,128.160831,1.781685715,0.0694,0.0966,3.864057753,5.244395696,10.23646606,10.3588987
