Monte Carlo Dashboard (MIMIC_CUA_sensitivity.trex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteration,"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)","Effectiveness
(Threshold Usual care)","Effectiveness
(Threshold SF < 88)","NMB
(Threshold Usual care)","NMB
(Threshold SF < 88)","Optimal
Strategy","t_currentage
(Threshold Usual care)","t_currentage
(Threshold SF < 88)","t_hospitalduration
(Threshold Usual care)","t_hospitalduration
(Threshold SF < 88)","t_imv
(Threshold Usual care)","t_imv
(Threshold SF < 88)","t_imvduration
(Threshold Usual care)","t_imvduration
(Threshold SF < 88)","t_lifespan
(Threshold Usual care)","t_lifespan
(Threshold SF < 88)","t_ltd
(Threshold Usual care)","t_ltd
(Threshold SF < 88)","t_oxygenduration
(Threshold Usual care)","t_oxygenduration
(Threshold SF < 88)","t_survive
(Threshold Usual care)","t_survive
(Threshold SF < 88)","threshold
(Threshold Usual care)","threshold
(Threshold SF < 88)",d_Recovery18to64Cost,d_Recovery65plusCost,d_Recovery18to64CostMean,d_Recovery65plusCostMean,d_LongtermDisabilityUtility,d_Gompertz,d_Age,d_Sex,d_Uniform,d_thresh1_imv_surv,d_thresh1_surv,d_thresh2_imv_surv,d_thresh2_surv,d_thresh3_imv_surv,d_thresh3_surv,d_thresh4_imv_surv,d_thresh4_surv,d_beta_imvDuration_intercept,d_beta_imvDuration_death28,d_beta_imvDuration_age,d_beta_imvDuration_sex,d_beta_imvDuration_logalpha,d_beta_oxygenDuration_intercept,d_beta_oxygenDuration_death28,d_beta_oxygenDuration_imv28,d_beta_oxygenDuration_age,d_beta_oxygenDuration_sex,d_beta_oxygenDuration_logalpha,d_beta_hospitalDuration_intercept,d_beta_hospitalDuration_death28,d_beta_hospitalDuration_imv28,d_beta_hospitalDuration_age,d_beta_hospitalDuration_sex,d_beta_hospitalDuration_logalpha,d_imvDuration,d_oxygenDuration,d_hospitalDuration,d_LTD_riskgroup0,d_LTD_riskgroup1,d_LTD_riskgroup2,d_LTD_riskgroup3,d_LTD_riskgroup4,d_imv1,d_imv2,d_imv3,d_imv4,d_imv5,d_oxygen1,d_oxygen2,d_oxygen3,d_oxygen4,d_oxygen5,d_ward1,d_ward2,d_ward3,d_ward4,d_ward5,d_y1,d_y2,d_y3,d_y4,d_y5,d_thresh1_imv_death,d_thresh2_imv_death,d_thresh3_imv_death,d_thresh4_imv_death,d_LTDmortalityHR,d_dischargeSurvival_shape,d_dischargeSurvival_scale,d_dischargeSurvival,d_dischargeSurvival_ageHR,"Longterm disability
(Threshold Usual care)","Longterm disability
(Threshold SF < 88)","IMV duration
(Threshold Usual care)","IMV duration
(Threshold SF < 88)","Life expectancy
(Threshold Usual care)","Life expectancy
(Threshold SF < 88)"
1,81569.90762,82954.66228,9.964566122,6.676314217,-81569.90762,-82954.66228,Threshold Usual care,64.43714166,64.57087041,5.194352064,4.753327013,0.179,0.251,1.090658888,1.668364855,15.59110025,15.62614281,0.046,0.049,5.056971135,4.682421385,0.895,0.655,1,4,29878.25862,39377.7017,3816.496049,39241.30004,0.288462916,83.13886596,64.57087041,0.451458862,0.496767248,0.196752791,0.89684662,0.247734572,0.690908143,0.563482167,0.763012642,0.314369267,0.623294278,2.097346755,-0.435378976,-0.161834438,-0.083877044,-0.064553728,1.69724121,-0.454663899,-0.11432867,-0.075567912,0.032678493,-0.006215712,2.068631878,-0.466949639,-0.095198689,-0.018235623,0.08377429,-0.335811794,10.9017347,4.682421385,4.753327013,0.037270268,0.085335714,0.233934076,0.272746651,0.598183448,6840.462168,4898.132286,4772.103479,4798.659479,4561.58453,4242.802409,3256.627372,1815.108148,3058.872219,1883.912108,2753.984101,2245.21546,2409.633106,2322.810259,1766.338852,22094.50888,11646.97299,4496.999458,5243.704139,2389.866587,0.30391979,0.32776571,0.180213723,0.138587311,1.906141861,0.372320719,17.75580374,112.2676065,0.99818517,0.046,0.049,1.090658888,1.668364855,13.02542169,8.884988721
2,66151.79227,64563.24719,5.525235469,6.555812525,-66151.79227,-64563.24719,Threshold SF < 88,65.09646648,65.27286907,5.197345385,5.630907952,0.279,0.19,2.469868683,1.606343219,13.42292698,13.54044141,0.047,0.037,3.540773739,4.133595369,0.583,0.67,1,4,29926.72612,28874.88959,3852.361015,28694.02954,0.200739393,82.67588054,65.27286907,0.451012435,0.49858593,0.343334486,0.596075635,0.281572444,0.77811718,0.54673304,0.700660367,0.165750599,0.680655993,2.255525677,-0.586241492,-0.374021623,-0.075356368,-0.030726854,1.533750728,-0.451936363,-0.060720483,-0.233178209,0.07817612,-0.098312165,2.05800772,-0.421883971,-0.182137223,0.125070001,0.158050914,-0.244303603,27.27339688,4.133595369,5.630907952,0.02363287,0.15212157,0.208501102,0.459477906,0.622808084,6070.31447,4474.860407,4529.496216,4452.743111,2453.565012,3374.756068,3130.093522,1378.444686,2380.182326,2458.841803,2112.023482,1853.051805,1268.932287,1305.275757,1574.760997,31640.43894,12677.59291,11981.26763,11016.72257,5971.107644,0.142536257,0.119711491,0.272273826,0.220582752,1.562584986,0.432478303,11.97781348,59.48906529,1.185738449,0.047,0.037,2.469868683,1.606343219,7.184344412,8.427237123
3,80709.54646,76216.05783,7.891391416,5.465025534,-80709.54646,-76216.05783,Threshold SF < 88,65.19608986,65.29732196,5.907801937,5.271451769,0.193,0.152,1.605934067,0.960624861,15.35791872,15.11726984,0.042,0.016,4.496537776,3.971582801,0.722,0.529,1,4,29960.0369,40971.77492,3535.326747,41208.80334,0.275345633,81.90802168,65.29732196,0.451613823,0.509838965,0.22629032,0.72087827,0.106657286,0.586164002,0.272553772,0.961033782,0.121540633,0.504095658,2.320413783,-0.508656119,-0.378098487,-0.104977617,-0.159762294,1.895462294,-0.44629914,-0.128118736,0.025902373,0.062019565,-0.378233891,2.149963766,-0.463814285,-0.052474758,-0.208845904,0.121622629,-0.292035528,22.73816931,3.971582801,5.271451769,0.023766508,0.173669515,0.235999712,0.469329235,0.544718911,8123.165678,3906.033754,5009.713379,2753.098136,5126.971423,2532.388088,2484.475186,3019.889932,2161.011361,2687.805585,2376.718258,2386.213903,1422.750024,1589.119863,1405.350584,39832.7545,12941.86613,8314.506833,4318.46143,7261.546408,0.13877758,0.430880327,0.193547577,0.20754008,1.352518922,0.483411877,16.20123915,64.1418518,1.272061251,0.042,0.016,1.605934067,0.960624861,10.35612966,7.106617662
4,75671.77114,75700.34862,9.972745763,8.761836386,-75671.77114,-75700.34862,Threshold Usual care,64.85019485,64.92175209,5.675516768,5.608217546,0.241,0.258,1.581338145,1.837519594,16.59843973,15.72474551,0.042,0.047,4.409832121,4.587620901,0.885,0.797,1,4,29977.03547,36559.7352,4331.407658,36427.95916,0.117176005,81.43689327,64.92175209,0.449861625,0.512780805,0.23826136,0.883317549,0.098755666,0.704979853,0.542365299,0.714042276,0.304115509,0.786736287,2.146130825,-0.447812921,-0.167095743,-0.068077765,-0.16178273,1.699912902,-0.349319274,-0.17985547,-0.173031089,0.066777933,-0.141221559,2.08743171,-0.346916822,-0.072633883,-0.073307511,0.107377374,-0.272384632,10.35053535,4.587620901,5.608217546,0.018659351,0.15475628,0.203506992,0.35258129,0.517106891,6726.250655,5568.728757,3648.365644,4905.650253,2951.041628,4945.932367,1983.33861,3817.677233,1432.481473,2830.379194,1858.715567,1569.303041,1466.156742,1454.503884,1364.127529,34940.94721,5474.707772,2168.613843,20833.17716,6152.586269,0.161491333,0.348272602,0.349548187,0.081477141,1.674843974,0.422478318,15.821069,153.4833891,1.783715331,0.042,0.047,1.581338145,1.837519594,12.97879985,11.31836724
5,68118.53529,68100.33083,5.42116842,7.282233667,-68118.53529,-68100.33083,Threshold SF < 88,64.57242682,64.73306161,5.854607831,6.509975587,0.176,0.141,1.500976828,0.995871144,13.37838716,14.13267942,0.037,0.037,4.384975929,4.88352115,0.553,0.748,1,4,30003.13629,32388.88013,4896.725249,32368.75949,0.13096842,82.43718533,64.73306161,0.44911248,0.491179899,0.147859243,0.575253097,0.110862987,0.871591992,0.633576219,0.738817829,0.109047608,0.739402877,2.295774397,-0.412754926,-0.254019966,-0.088671756,-0.066573711,1.835101394,-0.35273695,-0.098250734,-0.003240078,0.070591485,-0.218288627,2.273274058,-0.350844256,-0.121191857,-0.018951207,0.068367172,-0.258504233,19.87998272,4.88352115,6.518607872,0.031824743,0.18699137,0.267615117,0.390638388,0.602382607,5881.721663,3729.276697,2604.751287,4639.132566,3563.788765,3623.19568,2860.424814,3432.721082,3149.458029,1078.07682,2895.378461,1179.701577,2027.221117,1509.602385,1865.543026,33228.62398,7610.475348,13580.3392,19051.64695,4401.572269,0.223645234,0.116187382,0.107994363,0.263350385,1.854142472,0.438629565,12.01838747,57.16423253,0.921987604,0.037,0.037,1.500976828,0.995871144,7.022448397,9.333769521
6,65900.4461,64758.22569,9.933155071,8.917948724,-65900.4461,-64758.22569,Threshold SF < 88,65.19161167,65.34164961,6.045739562,5.797738995,0.239,0.203,1.594439121,1.157699807,15.33367537,16.14459961,0.039,0.018,4.68766782,5.055512608,0.904,0.78,1,4,29922.06003,27000.35536,2052.640146,27134.65321,0.155640577,82.33485324,65.34164961,0.450279573,0.502265747,0.213864133,0.895571751,0.19294633,0.841743423,0.460829723,0.782843163,0.193986879,0.771299296,2.310232936,-0.351179698,-0.135882769,-0.120562871,-0.229077364,1.712881113,-0.347646146,-0.177032957,-0.170916919,0.099275974,-0.100545121,2.125323204,-0.392077107,-0.044789264,-0.101355868,0.066494342,-0.22991731,9.173125897,5.055512608,5.797738995,0.008703734,0.156524823,0.32416107,0.365473472,0.562084072,5813.243048,3808.920568,4591.527538,3525.088183,3875.282516,3951.012972,3092.885894,2254.982659,1865.313924,2201.585934,1450.891539,1089.518657,2316.8353,2261.941098,3306.993877,33071.28121,17931.7453,9923.442155,7655.650563,5892.360854,0.329446371,0.350354193,0.0890085,0.284434086,1.647177705,0.419689175,11.64609025,239.6970315,2.146407019,0.039,0.018,1.594439121,1.157699807,12.7724758,11.42839848
7,80637.34161,82707.4398,9.644018076,9.818954567,-80637.34161,-82707.4398,Threshold Usual care,64.74867815,64.83659836,4.94778446,4.610568596,0.181,0.296,1.396374708,2.145035797,19.76796018,19.17147089,0.025,0.039,4.481749956,4.436018968,0.683,0.751,1,4,30139.7166,36855.33352,1209.465434,36781.62736,0.103453815,82.99660423,64.83659836,0.451500645,0.504041921,0.165893785,0.694712114,0.347457837,0.897109234,0.545596722,0.866343776,0.279668671,0.772690019,2.303204069,-0.410876748,-0.323792788,-0.024465321,-0.156995932,1.68875258,-0.400358674,-0.004062429,0.0028853,0.087908802,-0.151164875,1.929197661,-0.329236464,-0.09366868,0.068929894,0.026460717,-0.211242829,17.93195814,4.436018968,4.610568596,0.023525999,0.213622,0.211727219,0.425192734,0.559773726,6696.701003,4566.880793,3799.975335,3557.124978,3680.424023,4109.516942,3782.8461,3574.80376,2613.610817,2586.682319,2001.090752,1982.408664,2901.630031,1223.581291,2072.305708,26162.308,7747.21815,4357.939061,6590.309788,5003.408829,0.143994159,0.097835995,0.137072081,0.381258516,1.382246566,0.48568598,25.10229067,405.1106363,2.659322209,0.025,0.039,1.396374708,2.145035797,12.52884177,12.74887344
8,71140.25845,74060.80505,6.801323666,8.899503669,-71140.25845,-74060.80505,Threshold Usual care,64.68405345,64.80081334,4.958172213,4.769568453,0.232,0.319,2.501594744,3.054289141,14.74214012,15.7019635,0.119,0.118,4.386534478,4.711834559,0.683,0.82,1,4,30035.93492,31603.67185,3402.974071,31543.35732,0.165185482,83.80753764,64.80081334,0.448368018,0.503134579,0.301269713,0.684197617,0.29942683,0.777135732,0.649341827,0.864104053,0.298685693,0.809399545,2.394647007,-0.502204663,-0.331563281,-0.064739714,-0.005825528,1.626280594,-0.481087721,-0.118820226,0.044953626,0.054681339,0.009636637,1.990690705,-0.354110015,-0.372806941,-0.075160642,0.098665511,-0.252162083,29.20951053,4.711834559,4.769568453,0.088363968,0.105565331,0.318159713,0.430516542,0.635858641,6280.932897,5193.300436,5319.096952,3611.648658,2960.481378,3350.386006,1292.56183,3121.611841,1820.847089,3135.732607,2028.130523,2381.237206,1813.131855,1401.977816,1718.128749,37147.44814,21895.58402,10965.94508,4117.632948,4065.9493,0.081147879,0.020314369,0.424467798,0.403859519,1.69257322,0.474109086,16.437192,52.71472301,0.99186466,0.119,0.118,2.501594744,3.054289141,9.043006204,11.85784599
9,74776.29802,79183.89145,7.749795397,7.205910387,-74776.29802,-79183.89145,Threshold Usual care,65.27007027,65.41371103,4.786402851,4.339620849,0.205,0.319,1.588827748,2.563373002,15.64587704,16.29836012,0.036,0.045,4.703565079,4.721894515,0.706,0.645,1,4,30063.96582,30866.54445,5753.402642,30754.3913,0.255531235,82.41920438,65.41371103,0.449437423,0.487319055,0.232585814,0.736659419,0.239370979,0.702233653,0.549182552,0.818828686,0.349372511,0.67066849,2.357414095,-0.435871469,-0.147351547,-0.030058821,-0.054820971,1.852010673,-0.405469419,-0.099657586,-0.24286416,0.007046956,-0.175053869,1.821685326,-0.407267338,-0.149050027,-0.085995882,0.015468894,-0.249951182,13.18089155,4.721894515,4.339620849,0.021857277,0.076989906,0.280264208,0.362040237,0.606455824,8097.451604,4008.509924,4061.559301,4197.193215,4394.840037,4699.755488,3633.788625,1960.37055,1984.139773,2972.036895,3664.824937,1414.452809,1826.681663,2051.747401,1222.889957,37304.23611,15833.56603,5071.485533,7174.028668,5832.721702,0.22571386,0.044789034,0.201415043,0.292531346,1.847034889,0.435199042,19.3441554,121.4050852,1.266209229,0.036,0.045,1.588827748,2.563373002,10.15176537,9.539919779
10,74973.75489,76485.31904,7.540732571,7.529361898,-74973.75489,-76485.31904,Threshold Usual care,64.26808465,64.35953872,5.730383725,5.487259135,0.343,0.405,3.685498614,4.667793491,15.58856792,15.00527042,0.074,0.066,5.792920925,5.287187942,0.697,0.705,1,4,30099.69645,26237.84462,3897.020122,26320.53527,0.163188592,83.29944708,64.35953872,0.452648733,0.509043111,0.385102071,0.705648044,0.195620108,0.902443521,0.594279572,0.879082561,0.46830063,0.729311115,2.423753266,-0.427369791,-0.196583228,-0.092438061,0.014720039,1.912289704,-0.363701224,-0.111551275,-0.052759931,0.033207009,-0.07119487,2.129159184,-0.357301315,0.11645875,-0.050111826,-0.020660958,-0.292628201,17.37606471,5.287187942,5.487259135,0.013506455,0.134843873,0.265999479,0.340125352,0.575350261,6095.629278,4010.958325,3833.211728,2978.263093,3744.310534,3572.389954,2531.691312,2048.966757,1323.404015,1913.514088,2616.938154,1331.363994,1948.40603,2165.354176,1498.865809,28186.43504,16930.93293,12571.80909,3459.362863,2540.006064,0.198303362,0.227046279,0.436671961,0.281047994,1.987220731,0.467125659,17.67342446,59.75757552,0.916832832,0.074,0.066,3.685498614,4.667793491,9.970135459,9.883176225
