(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
72228.28147,88187.08384
74065.12543,89433.53836
72256.04308,90607.58552
78896.66834,89928.60941
73399.07545,84559.06681
89791.03414,86983.48565
82503.87188,85750.5339
69546.03671,81927.74565
76917.30879,92552.09127
85241.54509,89239.82717
81357.94765,90129.76241
75185.00377,95132.5088
69244.05301,75062.69728
84166.46066,97116.50454
71235.62706,75004.49834
83447.27226,100968.1015
78055.03112,92877.83485
76454.19619,88620.08708
71286.7006,78926.3533
71237.10723,83757.64416
86022.03182,103812.0051
87616.52461,95462.48513
77872.31531,89971.99325
90346.03076,95714.26774
72896.18249,79233.55257
61372.28767,71386.07009
82209.18928,93503.51508
63362.38713,76481.29815
75731.55324,88740.1232
69792.33512,79554.81725
72668.615,82066.07204
69571.25143,80365.21641
67416.96615,75706.0938
68380.21822,81376.5178
76902.72952,86649.18183
80563.43832,86598.11414
71661.25973,82506.66722
80174.32882,88638.75223
73628.43573,81008.39258
71034.95689,78193.55571
81644.90025,92663.76051
72348.3219,79388.38694
90473.85395,86690.79682
79178.17717,84197.45491
75931.75279,93589.09494
81829.78977,89517.45621
67005.946,79192.25522
75094.14819,94860.41237
75495.87267,73614.84149
74021.57933,92950.6955
90138.13826,94346.04492
65908.79732,84731.35093
77549.12513,104912.6487
71418.58386,76639.23985
67948.69532,85503.83818
74690.7016,81361.29189
69693.38453,81592.4184
70866.25724,82382.87576
77271.47846,90518.58834
80045.57295,91953.58722
66646.73283,75216.04374
61347.05714,70956.054
88115.54348,98870.61906
72719.62415,84262.65611
73329.90592,82377.28534
76124.96653,82144.05548
72949.09468,87304.55096
66087.78719,81940.97007
76800.61389,84970.31643
79742.10805,85531.13005
76037.49704,86682.79142
66874.05416,79560.81684
69305.90367,83297.72568
72731.63231,75998.83326
81790.82923,92599.52089
79973.66654,91109.90444
75647.62455,86989.71489
77033.88848,82656.06495
75380.43399,89615.81149
71812.38566,80070.77513
73759.63044,88666.38273
78256.0916,96097.88375
78013.83386,91434.51887
76161.09584,73153.91702
80606.83039,97015.61461
67796.56316,86670.60152
66996.01813,76870.1229
84199.52929,95260.54239
79219.81226,110375.2985
84623.71713,102060.96
72912.0694,87724.73303
79371.71261,85589.83082
74825.67479,91890.16126
67175.21198,79502.37658
73389.10344,97093.66556
65335.73511,72016.66665
74351.36228,78251.00229
90566.76227,101466.6079
73856.9087,81318.38635
71532.06908,83128.64505
79055.63698,90360.29897
62230.71532,70972.50623
68897.90235,83978.12831
69455.65932,89348.89376
90199.54421,99421.00857
73204.85456,85461.27042
77258.00966,95343.46688
77285.04589,92410.96947
86300.65282,93497.51547
69380.87505,87416.29199
83125.25535,97646.57529
91193.00124,103894.0918
75977.64846,88455.94824
64106.60139,70330.3923
74623.52231,82109.74047
70112.04627,91425.55658
75534.79598,78554.35806
74890.90805,98494.24101
60471.62596,78276.75044
70131.80762,78514.18451
72337.56708,82937.83153
77071.24686,87914.65601
69742.95052,82313.6326
80271.76143,80908.67988
65176.72757,84986.3616
80116.27195,86119.55521
72658.80512,87420.99062
62672.35036,75637.70753
76860.09387,92880.95348
74151.12274,84057.65997
75054.81528,85400.79371
71320.94347,82072.25258
80123.72866,93057.82982
73235.08045,83461.47548
92060.42527,99858.90432
85046.81718,93287.3104
77469.05305,80773.75863
67756.741,78917.79984
67115.80714,82509.95359
72256.0653,79557.17018
75273.07779,88775.27723
80202.93473,90405.91879
72934.88937,83115.59603
66965.46492,82055.41156
60989.72867,76708.81648
69911.00223,75677.20172
62841.1755,81052.72322
65236.80017,77857.43915
79794.94818,89978.93906
79996.96667,95646.21036
70928.24844,81992.37444
65625.0701,90458.3144
86199.10759,92846.23228
82060.6443,97456.54763
80234.60816,88274.19733
73074.0922,83073.19059
64454.69649,80935.34931
77128.43751,86787.25209
67100.70994,78587.99934
79129.37455,90971.45515
75601.77128,78274.28837
69877.40369,86637.46849
73808.44539,84883.25583
73245.55732,83358.45654
75291.13065,82045.11925
80482.70063,91268.44624
75444.48298,78801.06084
65603.60811,75712.80428
86854.86785,95696.08178
73015.04723,81004.83192
68746.73587,86734.68559
70975.75869,73610.80398
67114.44855,82363.16817
78054.96571,85333.35728
67560.38126,85746.94505
85614.35404,98244.08068
82626.50854,88158.05224
90383.80581,92587.14192
82329.19903,90938.14596
65964.12107,74509.27718
90968.77471,96364.43469
80909.99715,95311.46411
71180.30104,88934.88669
85608.88195,93629.47316
79576.68156,98013.8278
80403.84307,78531.75848
76181.21403,92736.87271
65287.89796,77240.62718
70006.49668,95146.79862
66678.51311,85233.23767
77834.3858,88022.18389
73122.45346,86064.65759
78032.44973,82613.63827
64794.76344,78025.60509
87049.82984,106185.1109
77768.08262,83971.27553
83199.1125,91608.17042
72093.16309,82017.86746
73179.22763,86126.81215
64613.12714,71836.5089
80005.16664,84398.63763
73402.99199,81668.01561
78603.14328,87364.95629
82565.49784,91441.52965
86147.93685,97529.24089
73645.07394,86147.95533
74675.85252,83496.62088
73236.89961,83349.63941
71275.06048,84822.90841
75719.75448,92090.15295
77767.65225,82790.99461
68590.94369,83760.84535
74263.13408,84135.00049
72502.08877,94759.36053
73059.88687,86871.30435
72586.33868,85168.95273
79451.52525,85450.17143
85879.21306,98232.00933
84842.41154,98806.75553
72306.8551,86289.28844
64078.79711,75978.71061
70580.33268,80178.30278
82714.8136,93532.953
73710.89156,85809.72489
79521.84486,90701.6264
70685.68599,89877.33111
78520.06374,87535.70605
81892.77022,88498.28881
69814.30641,81534.15806
74006.59374,96314.0966
74558.72078,84632.70747
74468.24577,90376.79427
75216.59494,81616.03423
87414.31198,90760.49876
75071.9314,90400.93142
62558.73443,76749.69849
73784.48129,80101.11313
61665.22262,70204.44335
90845.52583,105219.2947
87613.82623,102915.5087
67639.75625,83733.49579
69757.69517,83899.9199
83647.61111,89246.43608
78086.03916,93071.6662
76159.86852,88503.04004
78050.8837,92345.24646
70780.00704,76771.12178
73514.3398,85502.99438
95950.19415,103103.3435
79416.94811,84102.56853
90167.78322,99133.07077
79234.46512,82861.48129
73798.04664,86874.90003
66871.83967,83924.82084
69442.98729,79739.30156
89771.61766,104379.6221
78830.19949,85574.50137
75959.49419,88641.59493
58910.44205,66090.54929
64172.38058,70627.15097
77656.84147,88185.45979
70962.75889,86747.37489
76295.78164,94385.54083
84823.45151,98297.91865
90278.10403,93463.59838
85076.25403,92534.78564
80231.26763,90283.63357
86807.37845,81083.47076
71449.60801,78133.19576
71419.06048,74149.82833
86784.58693,94480.11981
65549.34491,81429.97134
77368.57607,89438.13272
74606.45026,80587.07467
65855.39095,73196.69432
81233.57795,86867.55095
84503.47605,97824.6269
77595.35817,92807.32548
84635.4259,96713.33057
65411.55,85856.36001
67127.56786,83950.33452
76828.7296,92842.48469
67615.97455,73653.43063
71180.75406,81227.15873
80750.96321,90621.14744
82988.24852,95353.65123
81293.85932,85942.37538
78948.0003,87750.09736
76338.93865,94655.55322
81220.58237,86945.10245
72832.02847,84033.43216
80038.65652,85717.38001
78552.43942,102304.2214
68685.53607,76556.91344
70894.44524,78389.86449
71266.80495,78693.28132
64358.99135,74342.04489
70207.00078,78265.41926
80400.29228,87622.39675
74514.8972,85428.21115
75311.92768,82813.80162
75891.53703,84604.46567
65448.53487,73307.73561
84551.11822,95644.64452
94290.01222,111446.4944
85165.41848,96333.90538
78874.51397,100965.5773
70392.67645,83127.42127
73827.43036,80562.08638
69294.29709,92102.91522
73431.27908,75601.98201
75746.876,92131.95252
77712.25487,87092.98161
107102.4625,124980.1117
74615.45665,86988.1576
81483.84126,88612.23677
75172.48006,86908.17828
77706.79485,92443.33104
87751.18944,100084.9374
81119.95478,78547.82027
82026.56487,82206.27605
73557.72673,85439.53653
86443.73822,96821.56174
70526.61354,83474.94943
77371.99935,89486.8791
75672.20103,99938.36263
79324.84609,94244.39133
74374.72981,91058.0787
76117.93135,84360.17889
77464.01984,78670.04131
66900.87252,77848.04578
90466.33959,100265.3015
84505.87482,99149.60759
70491.34008,95044.05614
77972.31911,80751.03749
70362.71241,74464.20678
74852.51382,81000.46627
64997.68629,79802.71276
76036.58249,84451.94151
80588.6167,97291.97619
73837.13871,80611.06137
69449.01337,74528.88363
69183.25622,86612.56996
83352.90743,99909.75914
78968.27807,94220.96159
70490.39106,89236.62298
77798.23548,82819.50513
68922.36236,87877.76251
73981.62945,79990.99892
68205.52232,91810.78949
77168.93476,88747.72571
68015.10292,76772.10546
68328.94146,79766.12604
94070.83014,99182.80987
77226.37579,89353.95422
78744.86388,97728.37328
67937.37525,80560.60567
87523.41425,92772.5281
70497.50818,92277.53145
82439.3667,102504.688
78553.39061,88609.66987
63631.35983,77554.72471
68797.937,83369.39083
80361.08175,88079.63126
71246.00069,88048.08448
68791.69106,73764.92349
67667.06742,85690.59491
62870.35507,79414.4592
77077.56882,89122.21295
76103.01862,84815.3836
83030.74671,87837.58038
90070.85917,102080.4075
72421.30327,99420.45657
90616.56988,102949.533
72602.36713,80187.20569
70919.28608,81496.57486
70165.87435,88351.94631
74268.4796,95468.29779
95458.30442,95475.77605
71890.74312,99979.16455
79726.29353,87067.64875
74310.33802,90736.1187
78017.08354,83099.22643
78102.38898,82335.19996
67547.00739,81408.01317
77724.89396,104113.1296
67546.26864,80067.46971
77264.47899,95137.353
