"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)"
81569.90762,82954.66228
66151.79227,64563.24719
80709.54646,76216.05783
75671.77114,75700.34862
68118.53529,68100.33083
65900.4461,64758.22569
80637.34161,82707.4398
71140.25845,74060.80505
74776.29802,79183.89145
74973.75489,76485.31904
74407.78099,67787.54019
74585.11465,71977.64878
74015.70824,68650.92834
72925.71732,76249.53383
87078.67057,74098.24039
66072.83227,66567.99321
78824.56527,72584.20847
76259.48016,75771.26931
70283.16352,66538.89999
69283.0045,67661.27484
74793.87251,68084.35904
79012.95002,67693.75975
76299.85148,65602.43017
72750.87945,66868.80277
79175.43239,76024.21753
81804.93832,82789.27246
79439.16119,78250.94939
79796.09392,77623.4445
84346.1654,83868.76546
77266.09289,65999.80334
82835.47735,86185.7956
79206.25448,72741.74803
77627.06911,74423.79963
70076.52564,68439.77584
71545.46425,70463.92407
82129.30143,78806.56869
92719.99672,78602.05019
81312.7568,71543.17516
67216.20015,63489.78814
74050.06562,75003.46438
76647.27376,74678.49178
77513.19128,73775.50522
73989.41755,80186.32393
81902.71673,76271.10902
88501.37192,89818.55088
81763.02297,79419.00481
70512.95475,66722.83625
65286.04587,65041.17703
71970.47849,65461.31635
77122.402,69477.81854
71798.59192,74080.57284
67321.39384,63376.42806
70828.67264,68741.78724
79291.33201,79018.66657
79840.53093,78335.90398
85546.08089,70449.52508
77376.53704,67526.49769
86202.41066,81648.1777
89610.28027,80420.76666
71501.06944,72002.8359
66074.94505,64771.93726
69674.43767,68838.95281
79013.71521,88758.36066
67134.36347,62476.4982
76820.94251,70966.79131
72860.13957,73714.37387
76549.65338,68384.6191
77449.84837,73928.19644
79949.26245,81403.49192
88343.02864,81795.93197
74964.74055,76760.96001
76017.20622,66740.19916
82936.62728,79429.61955
70362.32099,66059.39663
70337.37748,69087.81828
79661.33087,69533.49825
70832.68002,62453.03142
72743.68023,70628.67881
90720.05409,77728.90789
67230.22974,63248.21274
70824.96886,69813.08899
70751.37736,63475.73946
60754.96385,62926.36434
75931.45058,68855.9613
71938.16018,73462.16545
77243.096,75256.46502
74755.02231,69243.39679
65993.81482,71918.58871
69654.67233,67987.32299
66994.95601,60318.29247
74553.12671,72809.33428
85012.09188,78414.47456
66667.31726,64021.36719
76787.02793,74947.31916
75169.1105,66864.64612
76662.43655,70791.15213
88885.45722,78528.8345
70777.68972,63047.24558
78735.32595,70049.57562
73953.41239,69096.68545
67312.80668,68170.2852
78768.07463,72648.65911
74299.63998,71802.143290000007
72141.6812,74743.54377
68548.6532,69220.5571
67986.16349,65459.15563
75132.64583,73993.69874
84250.92193,74032.21658
66868.00963,63826.51212
77420.5411,72863.50458
75824.86192,69815.50227
63835.0565,65293.33312
74694.28336,81309.83999
82943.69069,80830.43819
74271.57728,74589.24649
74512.78588,68060.27982
81196.67021,77722.96677
78255.40581,73679.85258
69016.5801,68886.03782
68053.26003,68903.9376
73088.21276,71663.44384
77736.02987,77758.48646
75146.39817,74200.38026
73855.2845,73975.34532
73552.32802,63983.75965
76749.78143,77060.06028
73315.7566,71659.3617
