(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
7.44103575,7.833977859
9.672919066,9.553879442
6.646369526,8.14012678
6.928055432,6.592585715
9.348997288,8.396666288
9.425292894,6.565176104
7.450291278,9.224993864
8.511008641,8.807357969
8.514975859,7.490006586
7.79047331,7.862687227
8.933842555,8.467758739
5.079498555,8.060092774
6.23482146,7.550501141
8.542940383,10.8415146
9.156498059,8.785219952
9.928885517,10.84046574
8.067863226,8.253206171
10.85400806,9.898501469
6.274778846,7.9467467
10.14532903,8.766469083
9.594853657,9.109356025
9.132589275,10.60312934
9.126724217,7.999360652
10.00521283,6.933637555
7.989097184,7.83647768
6.707112334,5.959026888
9.611358778,8.409449918
6.182804352,9.746155611
7.361255511,8.302211892
9.57419509,7.901398919
8.820381534,10.3420175
8.72890171,8.589003326
8.496925065,6.426164001
8.076170657,9.5018474
7.346515696,7.842986615
10.88304841,11.06288008
9.760414494,9.81041065
8.783701338,6.142363847
7.717740783,6.859141268
9.057977672,6.902829261
6.211866681,7.238450486
8.179844652,9.970513068
8.472910231,4.552669649
8.092237244,6.890854087
10.19835133,9.696712765
9.707044242,9.308167505
7.748147712,9.127248324
7.38092063,8.790654269
7.980300486,5.04965442
8.165715042,9.842655519
7.593871769,7.260292227
7.324884924,7.804918771
8.820061953,11.51312434
6.796536803,6.983790879
4.370849534,7.960047078
9.678584334,8.72635142
6.932779358,7.623778902
7.253433697,10.41400675
9.733843858,10.41376004
7.282110315,8.012469785
8.436900631,6.548492168
8.875551186,9.237075597
9.155696185,9.604091347
6.618488331,8.319879783
8.350722949,7.477106659
8.887009985,8.946875781
9.100167497,8.353554145
9.640569761,10.60085581
7.191153204,8.454785878
10.6716452,8.976189123
9.082311636,9.149804354
7.660537331,7.058463174
5.689334617,6.93145734
6.559279667,7.125628112
6.028129419,7.634235684
8.334617355,7.914593961
10.61318122,9.306099928
9.596429421,10.33443496
7.988098603,7.752184205
7.065719448,8.6928599
8.996249827,8.154662259
8.43632322,9.258904377
7.6874053,8.92268945
7.369715868,6.506279102
6.990731804,8.721098009
8.381236945,9.826638118
7.369017682,8.290042487
10.03341438,8.89071982
9.947930041,10.42935571
9.719501327,9.285234714
8.75692523,8.93296582
8.91875986,8.592156678
11.29710723,8.873471161
8.430400121,9.63524297
9.606094379,9.870570843
7.750223685,8.36662624
7.941230145,5.239142671
9.545010933,8.652654997
7.97342782,6.948361924
11.40325005,10.04841131
10.36343625,7.922553624
7.279120383,7.797457437
6.17035106,9.350093998
7.950388114,8.173815283
9.715296902,10.58883337
7.206770786,8.248393832
10.17321211,9.009536938
7.929774896,8.590368665
7.01801027,8.018697548
9.611085806,10.79001006
9.334912368,10.06200442
11.09655416,9.401878802
7.604766203,8.363091561
7.806705359,7.550860116
7.905704574,8.822005168
9.345116398,9.715469817
8.243638796,9.375963687
5.957793438,9.46753113
8.689734254,8.923109857
7.238319338,7.314599674
8.022412334,8.803523831
8.28321477,8.819052935
7.581249911,8.484387744
9.01812631,7.402819245
7.949206379,8.413637458
8.689217224,8.226262534
9.279964622,8.462007354
4.427826173,7.337544013
8.994988427,8.158330406
7.076705282,8.725283991
8.105523729,8.056699226
9.130466512,11.05860109
9.144434892,7.248454491
8.825145504,4.55380647
10.88560338,9.694514474
9.39284543,8.666271677
8.397287783,9.526589316
8.500182883,8.509843123
5.924998033,10.07965469
7.826740768,9.062305321
7.463162901,7.808832436
8.170451849,8.115840896
8.73888208,9.282844944
7.835821622,9.9204586
4.494435543,7.812400714
7.439564038,9.42342128
9.109012857,7.028682139
6.242698205,9.820653412
8.503509034,9.424311083
7.508752591,9.184306888
7.664444805,7.874975533
7.210801581,9.509252501
10.67034246,10.21099459
7.960808504,9.008901636
11.02350994,9.883163725
9.455906488,8.634994485
9.048629384,9.251829272
7.417313397,9.737200637
7.207727768,8.773060824
8.86817859,8.729476835
9.654986455,5.863538561
7.953122262,8.961402445
7.93809741,8.588164838
6.41234147,7.910501219
10.10544422,6.562165987
6.912764488,6.012930168
7.784642976,5.873389218
7.968957305,6.852539458
8.540498889,9.196241823
7.946780064,5.726076578
5.320143335,9.01202428
8.023307544,6.26245541
8.158791668,9.894127592
9.479255594,6.688690375
7.735946656,8.24453394
9.921541929,9.597113049
8.568051299,7.203383061
9.632723521,9.295231404
8.329735515,7.503536798
9.727392783,9.15330313
8.069443094,7.029235518
8.399994294,9.072062764
7.233435569,8.795507667
9.85426363,7.019936593
8.953195313,9.765979102
9.23571712,6.369123611
6.405470015,8.550945087
7.67893328,7.812650814
9.099705398,10.2360039
10.03649855,9.033314148
8.721286963,8.90856545
6.537637944,7.081693801
8.089830463,8.811832538
7.931398028,8.803240106
10.14642815,8.776350573
9.246701666,8.460098154
7.751252273,6.617983165
9.542534949,8.475011641
8.125834578,8.094297547
5.826083497,6.857712606
9.057608737,7.807592921
7.939214618,8.337012043
8.936531664,8.474134597
9.371326013,9.163805459
8.007412791,8.842723267
6.905063723,6.944106411
7.511088232,9.264496376
6.113714811,9.090783096
9.155239273,8.819551811
8.905613461,8.377575136
10.13816855,9.154639603
7.067924685,8.971276962
9.836150007,11.30884066
6.648443313,7.985780847
9.801581195,8.829035745
8.629593235,8.253125132
6.690306756,7.689665654
8.5083207259999991,9.008035414
8.762176869,10.55672277
8.694000333,8.500045653
6.483076675,7.785938992
7.720276258,7.801338987
10.24661476,8.19452415
7.32523129,8.384448957
10.06919821,8.249778276
7.919476891,8.308592081
11.33347938,9.744889126
6.315624032,10.05461162
8.779169315,9.64651523
8.426823952,10.7964318
7.714252279,8.790777142
8.151200181,8.258238883
7.385409646,8.954255541
7.972381574,5.083070265
8.05115895,7.777567644
8.70943386,8.826778729
6.576745971,9.672838768
