"Effectiveness
(Threshold Usual care)","Effectiveness
(Threshold SF < 88)"
9.964566122,6.676314217
5.525235469,6.555812525
7.891391416,5.465025534
9.972745763,8.761836386
5.42116842,7.282233667
9.933155071,8.917948724
9.644018076,9.818954567
6.801323666,8.899503669
7.749795397,7.205910387
7.540732571,7.529361898
7.932694755,5.595025384
9.993735072,9.115831028
9.506694438,8.138856704
9.870692652,9.215773082
8.152371643,7.492490359
8.879022077,10.1597972
10.60191175,10.29795918
9.236308138,10.53631598
5.385991948,6.465592864
7.193499341,9.223267506
6.895862277,6.656174277
8.360137042,6.648454527
6.226193545,8.994857846
5.862398079,8.192119749
8.847045567,9.577971562
8.23345697,8.683997108
8.44275042,8.465088098
9.052320081,8.076483236
4.965622657,9.389999186
8.724987484,8.527317149
9.4876118,8.874967872
7.904455767,8.52730791
9.107329124,7.609836219
7.079062564,7.456134481
8.607670446,9.875971625
8.577597199,8.824837952
10.79793787,7.63754962
10.28083703,8.974287428
6.642788391,9.470543949
7.092719914,10.26832849
6.284542696,5.253152465
6.144937841,7.014915803
7.678846109,9.257602445
8.789203993,9.538662046
6.872790536,8.506495138
6.641452625,8.243620648
9.050355721,5.795986873
7.008720441,6.934047447
7.567733298,6.308036935
9.045623603,7.500844315
8.915244935,9.813817926
8.631869035,9.73082366
8.067145176,9.930952353
10.84819241,8.611785328
7.309986314,8.313362128
7.974752138,6.897886074
8.456933158,8.102806253
8.269816355,6.289100038
7.983273358,7.206630657
8.90497605,10.52969933
8.349150138,8.353863542
9.804963994,9.092950017
6.398738525,7.6848132
9.164530174,7.409395913
8.948226405,10.57924356
7.019925424,8.375309867
8.778409038,10.82706124
7.301965192,7.727362721
4.886899584,11.33381658
8.794648212,8.218424963
8.064622666,9.252946731
10.80488518,10.97652538
9.185006869,6.203905471
7.490961623,9.027511214
6.71935822,6.912904489
7.323535084,8.685867557
7.954877134,8.285536923
7.304567669,7.97992665
10.80400449,8.431096953
9.296421384,6.374995849
7.367444815,7.775759175
6.819444234,8.263661442
5.683436797,6.501662279
9.72322732,6.398150319
7.218072667,7.900561265
7.271396769,9.091372448
9.054577173,8.58992777
9.134544405,9.325711152
7.507518211,10.42844062
9.504177038,7.236135964
7.776886484,7.573128502
8.205674592,6.84148583
8.647507009,9.013859559
10.81948131,7.175126088
9.110365808,8.479696406
7.0137007,8.266352736
9.260311691,7.115707229
6.799329921,6.272374432
9.351268338,8.174343331
7.685942073,9.015031936
8.319739742,5.520293403
7.152914651,8.329181207
5.438498669,9.97640179
10.4238335,10.25452596
6.39209147,8.367584465
9.688393319,9.589690169
