d_Recovery18to64Cost,d_Recovery65plusCost,d_Recovery18to64CostMean,d_Recovery65plusCostMean,d_LongtermDisabilityUtility,d_thresh1_imv_surv,d_thresh1_surv,d_thresh4_imv_surv,d_thresh4_surv,d_beta_imvDuration_intercept,d_beta_imvDuration_death28,d_beta_imvDuration_age,d_beta_imvDuration_sex,d_beta_imvDuration_logalpha,d_beta_oxygenDuration_intercept,d_beta_oxygenDuration_death28,d_beta_oxygenDuration_imv28,d_beta_oxygenDuration_age,d_beta_oxygenDuration_sex,d_beta_oxygenDuration_logalpha,d_beta_hospitalDuration_intercept,d_beta_hospitalDuration_death28,d_beta_hospitalDuration_imv28,d_beta_hospitalDuration_age,d_beta_hospitalDuration_sex,d_beta_hospitalDuration_logalpha,d_LTD_riskgroup0,d_LTD_riskgroup1,d_LTD_riskgroup2,d_LTD_riskgroup3,d_LTD_riskgroup4,d_imv1,d_imv2,d_imv3,d_imv4,d_imv5,d_oxygen1,d_oxygen2,d_oxygen3,d_oxygen4,d_oxygen5,d_ward1,d_ward2,d_ward3,d_ward4,d_ward5,d_y1,d_y2,d_y3,d_y4,d_y5,d_thresh1_imv_death,d_thresh2_imv_death,d_thresh3_imv_death,d_thresh4_imv_death,d_LTDmortalityHR,d_dischargeSurvival_shape,d_dischargeSurvival_scale,d_dischargeSurvival_ageHR
29988.8492,29117.41141,4770.817852,28959.80734,0.283940349,0.335328045,0.685387547,0.794752006,0.756760891,2.323332534,-0.416271523,-0.16068379,-0.033913205,0.029645736,1.853326568,-0.440017448,-0.05786185,0.049526616,0.080464647,-0.226822153,1.929584885,-0.5498899,-0.120583732,-0.035889841,0.131580636,-0.374586822,0.01069992,0.165419747,0.206671481,0.409137707,0.594862193,5455.232315,4211.848886,3916.642167,4373.04468,3589.559069,3627.504222,2081.048372,2623.684403,2452.686069,2005.295314,3080.731823,1728.164153,1261.516132,933.4954411,1180.263781,25802.63983,8971.936301,1261.864364,11761.95882,4778.469017,0.089482998,0.22104669,0.212704739,0.166359326,1.909738446,0.479672307,15.96379617,1.304239265
29964.60937,31064.71509,4307.1058,30990.2776,0.159094129,0.196948495,0.879806827,0.650423056,0.910393234,2.315751337,-0.449927163,-0.190602441,-0.054026401,-0.062100619,1.727722703,-0.457125039,-0.168197778,-0.125525864,0.052990869,-0.033984508,2.438229723,-0.408804899,-0.184763199,-0.044979749,0.08987221,-0.23552235,0.03304935,0.09217994,0.233765249,0.423750936,0.585007199,4924.031453,3811.514886,3985.481583,3852.047535,4290.290599,4102.763435,1936.01423,4211.098681,2764.846832,2665.252408,2003.692792,1814.287807,2480.05031,2229.004253,934.5663919,27039.32613,10864.34909,4137.004652,3099.313519,9756.112023,0.248069793,0.2386799,0.159755865,0.305914663,1.34757613,0.428278534,16.13897223,1.279634507
30027.44795,29689.14211,2569.453,29719.19502,0.338253944,0.2245866,0.636921132,0.866183088,0.796348354,2.116233608,-0.413906275,-0.341200615,-0.068023249,-0.099142666,2.040696731,-0.485264335,-0.155447434,-0.12063992,0.138468657,-0.124038268,2.071737992,-0.502076342,-0.012702075,-0.153466507,-0.006486251,-0.128831169,0.046184373,0.124863444,0.307598702,0.509707718,0.628873291,8438.55753,4155.28569,6486.019062,5512.140424,3730.043053,3187.2564389999998,2844.41899,3416.298195,1707.202509,2646.14053,2182.856593,1313.927628,1839.329221,1404.670273,1830.18005,34828.36439,17598.94724,5080.873213,7374.800044,5176.460503,0.162433193,0.110641528,0.164889741,0.054551046,1.62992412,0.532568396,15.67775368,1.248863611
29988.63693,29403.42865,5353.01809,29399.70168,0.202497954,0.303099541,0.799982996,0.584136398,0.7568097,2.518573613,-0.491671635,-0.182837714,-0.035396982,-0.004977033,1.912265949,-0.344613136,-0.219955475,0.007263437,0.053368867,-0.229421153,2.227671539,-0.33538362,-0.224891534,-0.031832828,0.129822207,-0.237775262,0.034060044,0.135962007,0.220252629,0.428086175,0.543228283,6626.421486,5075.572922,3643.564104,4606.168432,4311.155538,3784.973878,2098.045704,2141.089523,4029.487544,2043.839649,2958.66719,1533.321318,1996.688208,2111.763842,1491.916945,37226.24041,8193.726772,1389.485637,5367.122881,15823.17546,0.083498548,0.402624139,0.233475696,0.247128116,1.32399558,0.493959318,10.55121247,0.903172022
30005.59709,30799.66424,2379.742722,30782.54307,0.112428804,0.392766041,0.847072914,0.835128864,0.752133036,2.236404155,-0.490488498,-0.231078402,-0.065580715,-0.005586017,1.71363182,-0.365556981,-0.013478845,0.02423775,0.01799899,-0.048411226,2.035014265,-0.416136122,-0.066938091,0.036890049,0.13897521,-0.2639789,0.054422787,0.124709999,0.24093829,0.429287759,0.56769734,6307.231183,4013.448223,4062.127638,4279.556471,3138.344763,2876.791309,1813.157503,2818.455905,1743.814799,2226.967602,1740.121902,1120.165901,1965.199959,1710.77224,1815.252749,22831.1274,26071.2141,14768.25785,3534.946885,8162.281488,0.224079279,0.14034308,0.230599998,0.232924364,1.462607303,0.424972781,16.37904456,1.815987511
29980.04942,31453.91232,3870.000618,31512.90162,0.100884522,0.609749435,0.921090524,0.821995875,0.61549895,2.160901314,-0.480630986,-0.24272887,0.008937792,-0.01715827,1.597899498,-0.412789541,-0.160901234,-0.048352534,0.035562542,-0.250696996,2.262707939,-0.486038404,-0.176232953,-0.063258953,0.07219055,-0.263821931,0.05325497,0.161910792,0.201691881,0.377402037,0.668021176,10185.73061,5736.04828,2959.690184,3549.670176,3861.790982,4396.746481,4251.668159,2928.633066,2501.258095,2133.270593,2432.395005,2299.237064,2033.779948,1612.246511,1429.885831,21809.01318,15042.1002,5397.583058,3665.790615,3166.4275,0.29360889,0.059305885,0.150941518,0.137399908,1.675743119,0.41119532,14.03651656,1.082942574
30014.88751,36532.88965,4456.902544,36679.51463,0.226646356,0.426951022,0.628805007,0.635033755,0.779970726,2.182949733,-0.428718175,-0.281474258,-0.058159372,-0.103622835,1.706088471,-0.471828122,-0.091236169,-0.155404338,0.099544514,-0.152639803,2.0714659,-0.406467815,-0.142075594,-0.045711065,0.129997301,-0.167608152,0.012806214,0.12817731,0.258270392,0.434977651,0.611850007,7216.311389,4178.106225,4980.774456,3926.397172,3010.540487,3749.383292,2234.399983,2349.74589,3298.903583,2238.011044,2747.947856,1472.375581,2225.567603,2182.499109,1241.365606,20346.42738,13518.72074,8972.166587,8423.44413,7031.806608,0.458149435,0.196766563,0.296867275,0.041823541,1.686490274,0.457263241,20.62177155,2.105866587
30052.10197,29126.4124,3648.100019,29056.14713,0.194373678,0.308395473,0.759116466,0.895906512,0.793957923,2.193759774,-0.374529987,-0.265944745,-0.056304619,-0.079364169,1.664268099,-0.435475362,-0.186423735,-0.029645424,0.082065835,-0.1488104,1.917657579,-0.486282734,-0.122648542,-0.066158691,0.006879025,-0.226837173,0.072729235,0.10891069,0.324764705,0.40321222,0.63495996,6898.216073,4566.295198,3286.737354,2473.484777,4613.126731,4617.552712,2462.107276,2679.98341,3232.679987,1484.407291,2907.343854,1686.061525,1237.452342,1125.868507,1366.748249,21683.82981,12542.01561,13350.71005,12054.6656,10303.743,0.143282734,0.353504211,0.229054255,0.357380925,1.490679971,0.427680422,15.88484317,1.427012787
29998.47262,38067.93002,4481.149874,38124.16143,0.323326821,0.214398489,0.851585813,0.71603261,0.76257507,2.293883373,-0.579773166,-0.214228034,-0.054183079,0.055687626,1.725722398,-0.474677568,-0.04966771,0.022697666,0.022554742,-0.182223392,1.958562206,-0.35694134,-0.093432917,-0.035920939,0.066888241,-0.286919055,0.055642726000000003,0.164212241,0.308013055,0.450794874,0.511578302,4526.255544,4299.763701,5106.076725,3564.648141,3554.576068,4274.71401,2141.695903,4105.253054,886.1305996,1662.88058,1993.300369,1640.048112,2656.390624,2549.131126,2152.322082,28932.37095,11737.91146,5976.557022,12373.64056,2970.487768,0.209587785,0.172550977,0.107968134,0.192532544,1.309171857,0.423372185,17.20846334,0.974101848
30066.2926,35643.7098,5800.97772,35619.55339,0.172996275,0.582829127,0.683685669,0.787786686,0.699393683,2.081571173,-0.444798714,-0.34168802,-0.007282316,0.013013438,1.824833034,-0.25776947,-0.195878337,-0.082702062,0.079275007,-0.212952056,2.226909589,-0.359761812,-0.339433317,0.023351111,0.056347649,-0.227363328,0.026513109,0.118624822,0.191673843,0.427805055,0.584985388,6388.183839,3874.19561,4543.321908,3009.707453,4191.738899,4136.483603,3700.82361,3261.781673,3892.811615,2303.933154,1966.212282,1410.898101,1231.65915,2368.533086,1100.322379,28226.90476,21839.67328,9714.166335,14359.36709,5867.3393830000005,0.097800465,0.076319869,0.38548098,0.191370944,1.462564711,0.451965702,14.87192613,1.781685715
