d_Recovery18to64Cost,d_Recovery65plusCost,d_Recovery18to64CostMean,d_Recovery65plusCostMean,d_LongtermDisabilityUtility,d_thresh1_imv_surv,d_thresh1_surv,d_thresh2_imv_surv,d_thresh2_surv,d_beta_imvDuration_intercept,d_beta_imvDuration_death28,d_beta_imvDuration_age,d_beta_imvDuration_sex,d_beta_imvDuration_logalpha,d_beta_oxygenDuration_intercept,d_beta_oxygenDuration_death28,d_beta_oxygenDuration_imv28,d_beta_oxygenDuration_age,d_beta_oxygenDuration_sex,d_beta_oxygenDuration_logalpha,d_beta_hospitalDuration_intercept,d_beta_hospitalDuration_death28,d_beta_hospitalDuration_imv28,d_beta_hospitalDuration_age,d_beta_hospitalDuration_sex,d_beta_hospitalDuration_logalpha,d_LTD_riskgroup0,d_LTD_riskgroup1,d_LTD_riskgroup2,d_LTD_riskgroup3,d_LTD_riskgroup4,d_imv1,d_imv2,d_imv3,d_imv4,d_imv5,d_oxygen1,d_oxygen2,d_oxygen3,d_oxygen4,d_oxygen5,d_ward1,d_ward2,d_ward3,d_ward4,d_ward5,d_y1,d_y2,d_y3,d_y4,d_y5,d_thresh1_imv_death,d_thresh2_imv_death,d_LTDmortalityHR,d_dischargeSurvival_shape,d_dischargeSurvival_scale,d_dischargeSurvival_ageHR
29878.25862,39377.7017,3816.496049,39241.30004,0.288462916,0.196752791,0.89684662,0.247734572,0.690908143,2.097346755,-0.435378976,-0.161834438,-0.083877044,-0.064553728,1.69724121,-0.454663899,-0.11432867,-0.075567912,0.032678493,-0.006215712,2.068631878,-0.466949639,-0.095198689,-0.018235623,0.08377429,-0.335811794,0.037270268,0.085335714,0.233934076,0.272746651,0.598183448,6840.462168,4898.132286,4772.103479,4798.659479,4561.58453,4242.802409,3256.627372,1815.108148,3058.872219,1883.912108,2753.984101,2245.21546,2409.633106,2322.810259,1766.338852,22094.50888,11646.97299,4496.999458,5243.704139,2389.866587,0.30391979,0.32776571,1.906141861,0.372320719,17.75580374,0.99818517
29926.72612,28874.88959,3852.361015,28694.02954,0.200739393,0.343334486,0.596075635,0.281572444,0.77811718,2.255525677,-0.586241492,-0.374021623,-0.075356368,-0.030726854,1.533750728,-0.451936363,-0.060720483,-0.233178209,0.07817612,-0.098312165000000007,2.05800772,-0.421883971,-0.182137223,0.125070001,0.158050914,-0.244303603,0.02363287,0.15212157,0.208501102,0.459477906,0.622808084,6070.31447,4474.860407,4529.496216,4452.743111,2453.565012,3374.756068,3130.093522,1378.444686,2380.182326,2458.841803,2112.023482,1853.051805,1268.932287,1305.275757,1574.760997,31640.43894,12677.59291,11981.26763,11016.72257,5971.107644,0.142536257,0.119711491,1.562584986,0.432478303,11.97781348,1.185738449
29960.0369,40971.77492,3535.326747,41208.80334,0.275345633,0.22629032,0.72087827,0.106657286,0.586164002,2.320413783,-0.508656119,-0.378098487,-0.104977617,-0.159762294,1.895462294,-0.44629914,-0.128118736,0.025902373,0.062019565,-0.378233891,2.149963766,-0.463814285,-0.052474758,-0.208845904,0.121622629,-0.292035528,0.023766508,0.173669515,0.235999712,0.469329235,0.544718911,8123.165678,3906.033754,5009.713379,2753.098136,5126.971423,2532.388088,2484.475186,3019.889932,2161.011361,2687.805585,2376.718258,2386.213903,1422.750024,1589.119863,1405.350584,39832.7545,12941.86613,8314.506833,4318.46143,7261.546408,0.13877758,0.430880327,1.352518922,0.483411877,16.20123915,1.272061251
29977.03547,36559.7352,4331.407658,36427.95916,0.117176005,0.23826136,0.883317549,0.098755666,0.704979853,2.146130825,-0.447812921,-0.167095743,-0.068077765,-0.16178273,1.699912902,-0.349319274,-0.17985547,-0.173031089,0.066777933,-0.141221559,2.08743171,-0.346916822,-0.072633883,-0.073307511,0.107377374,-0.272384632,0.018659351,0.15475628,0.203506992,0.35258129,0.517106891,6726.250655,5568.728757,3648.365644,4905.650253,2951.041628,4945.932367,1983.33861,3817.677233,1432.481473,2830.379194,1858.715567,1569.303041,1466.156742,1454.503884,1364.127529,34940.94721,5474.707772,2168.613843,20833.17716,6152.586269,0.161491333,0.348272602,1.674843974,0.422478318,15.821069,1.783715331
30003.13629,32388.88013,4896.725249,32368.75949,0.13096842,0.147859243,0.575253097,0.110862987,0.871591992,2.295774397,-0.412754926,-0.254019966,-0.088671756,-0.066573711,1.835101394,-0.35273695,-0.098250734,-0.003240078,0.070591485,-0.218288627,2.273274058,-0.350844256,-0.121191857,-0.018951207,0.068367172,-0.25850423300000003,0.031824743,0.18699137,0.267615117,0.390638388,0.602382607,5881.721663,3729.276697,2604.751287,4639.132566,3563.788765,3623.19568,2860.424814,3432.721082,3149.458029,1078.07682,2895.378461,1179.701577,2027.221117,1509.602385,1865.543026,33228.62398,7610.475348,13580.3392,19051.64695,4401.572269,0.223645234,0.116187382,1.854142472,0.438629565,12.01838747,0.921987604
29922.06003,27000.35536,2052.640146,27134.65321,0.155640577,0.213864133,0.895571751,0.19294633,0.841743423,2.310232936,-0.351179698,-0.135882769,-0.120562871,-0.229077364,1.712881113,-0.347646146,-0.177032957,-0.170916919,0.099275974,-0.100545121,2.125323204,-0.392077107,-0.044789264,-0.101355868,0.066494342,-0.22991731,0.008703734,0.156524823,0.32416107,0.365473472,0.562084072,5813.243048,3808.920568,4591.527538,3525.088183,3875.282516,3951.012972,3092.885894,2254.982659,1865.313924,2201.585934,1450.891539,1089.518657,2316.8353,2261.941098,3306.993877,33071.28121,17931.7453,9923.442155,7655.650563,5892.360854,0.329446371,0.350354193,1.647177705,0.419689175,11.64609025,2.146407019
30139.7166,36855.33352,1209.465434,36781.62736,0.103453815,0.165893785,0.694712114,0.347457837,0.897109234,2.303204069,-0.410876748,-0.323792788,-0.024465321,-0.156995932,1.68875258,-0.400358674,-0.004062429,0.0028853,0.087908802,-0.151164875,1.929197661,-0.329236464,-0.09366868,0.068929894,0.026460717,-0.211242829,0.023525999,0.213622,0.211727219,0.425192734,0.559773726,6696.701003,4566.880793,3799.975335,3557.124978,3680.424023,4109.516942,3782.8461,3574.80376,2613.610817,2586.682319,2001.090752,1982.408664,2901.630031,1223.581291,2072.305708,26162.308,7747.21815,4357.939061,6590.309788,5003.408829,0.143994159,0.097835995,1.382246566,0.48568598,25.10229067,2.659322209
30035.93492,31603.67185,3402.974071,31543.35732,0.165185482,0.301269713,0.684197617,0.29942683,0.777135732,2.394647007,-0.502204663,-0.331563281,-0.064739714,-0.005825528,1.626280594,-0.481087721,-0.118820226,0.044953625999999997,0.054681339,0.009636637,1.990690705,-0.354110015,-0.372806941,-0.075160642,0.098665511,-0.252162083,0.088363968,0.105565331,0.318159713,0.430516542,0.635858641,6280.932897,5193.300436,5319.096952,3611.648658,2960.481378,3350.386006,1292.56183,3121.611841,1820.847089,3135.732607,2028.130523,2381.237206,1813.131855,1401.977816,1718.128749,37147.44814,21895.58402,10965.94508,4117.632948,4065.9493,0.081147879,0.020314369,1.69257322,0.474109086,16.437192,0.99186466
30063.96582,30866.54445,5753.402642,30754.3913,0.255531235,0.232585814,0.736659419,0.239370979,0.702233653,2.357414095,-0.435871469,-0.147351547,-0.030058821,-0.054820971,1.852010673,-0.405469419,-0.099657586,-0.24286416,0.007046956,-0.175053869,1.821685326,-0.407267338,-0.149050027,-0.085995882,0.015468894,-0.249951182,0.021857277,0.076989906,0.280264208,0.362040237,0.606455824,8097.451604,4008.509924,4061.559301,4197.193215,4394.840037,4699.755488,3633.788625,1960.37055,1984.139773,2972.036895,3664.824937,1414.452809,1826.681663,2051.747401,1222.889957,37304.23611,15833.56603,5071.485533,7174.028668,5832.721702,0.22571386,0.044789034,1.847034889,0.435199042,19.344155399999998,1.266209229
30099.69645,26237.84462,3897.020122,26320.53527,0.163188592,0.385102071,0.705648044,0.195620108,0.902443521,2.423753266,-0.427369791,-0.196583228,-0.092438061,0.014720039,1.912289704,-0.363701224,-0.111551275,-0.052759931,0.033207009,-0.07119487,2.129159184,-0.357301315,0.11645875,-0.050111826,-0.020660958,-0.292628201,0.013506455,0.134843873,0.265999479,0.340125352,0.575350261,6095.629278,4010.958325,3833.211728,2978.263093,3744.310534,3572.389954,2531.691312,2048.966757,1323.404015,1913.514088,2616.938154,1331.363994,1948.40603,2165.354176,1498.865809,28186.43504,16930.93293,12571.80909,3459.362863,2540.006064,0.198303362,0.227046279,1.987220731,0.467125659,17.67342446,0.916832832
